calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-;
Calle Esteban;Esteban;Esteban;;-2;Male;-;-;
Autopista José María Castro Madriz;pista José María Castro Madriz;pista;José;-2;Male;-;-;
Calle San Martín;San Martín;San;Martín;-2;Male;-;-;
Calle Pascual Rodríguez;Pascual Rodríguez;Pascual;Rodríguez;-2;Male;-;-;
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-;
Calle Divino Niño;Divino Niño;Divino;Niño;-2;Male;-;-;
Calle Matilda;Matilda;Matilda;;2;Female;-;-;
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Male;-;-;
Radial Francisco J. Orlich;Radial Francisco J. Orlich;Radial;Francisco;-2;Male;-;-;
Avenida Juan Alfaro Ruíz;Juan Alfaro Ruíz;Juan;Alfaro;-2;Male;-;-;
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male;-;-;
Avenida Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male;-;-;
Calle General Próspero Fernández;General Próspero Fernández;General;Próspero;-2;Male;-;-;
Calle León Fernández;León Fernández;León;Fernández;-2;Male;-;-;
Calle General Eloy Alfaro;General Eloy Alfaro;General;Eloy;-2;Male;-;-;
Avenida Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male;-;-;
Radial San Antonio;Radial San Antonio;Radial;San;-2;Male;-;-;
Calle Ernesto Morera;Ernesto Morera;Ernesto;Morera;-2;Male;-;-;
Avenida Juan Manuel López del Corral;Juan Manuel López Corral;Juan;Manuel;-2;Male;-;-;
Avenida Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male;-;-;
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;-;-;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Calle Obispo Tristán;Obispo Tristán;Obispo;Tristán;-2;Male;-;-;
Boulevard Lorenzo Tristán;Lorenzo Tristán;Lorenzo;Tristán;-2;Male;-;-;
Calle María Elena;María Elena;María;Elena;2;Female;-;-;
