Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Vía 140;140;140;;0;Unknown;-;-
Ruta Nacional 140;Ruta Nacional 140;Ruta;Nacional;2;Female;-;-
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Calle El Socorro;El Socorro;El;Socorro;2;Female;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle La Colonia;La Colonia;La;Colonia;0;Unknown;-;-
Calle El Socorro;El Socorro;El;Socorro;2;Female;-;-
Calle La Noble;La Noble;La;Noble;0;Unknown;-;-
Calle Bajo Latas;Bajo Latas;Bajo;Latas;0;Unknown;-;-
Calle Bajo Latas;Bajo Latas;Bajo;Latas;0;Unknown;-;-
Calle Bajo Latas;Bajo Latas;Bajo;Latas;0;Unknown;-;-
Calle Bajo Latas;Bajo Latas;Bajo;Latas;0;Unknown;-;-
Vía 126;126;126;;0;Unknown;-;-
Calle Bajo Latas;Bajo Latas;Bajo;Latas;0;Unknown;-;-
Calle La Colonia;La Colonia;La;Colonia;0;Unknown;-;-
Calle El Socorro;El Socorro;El;Socorro;2;Female;-;-
Vía 3;3;3;;0;Unknown;-;-
Calle El Mangal;El Mangal;El;Mangal;0;Unknown;-;-
Vía 3;3;3;;0;Unknown;-;-
Vía 3;3;3;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 3;3;3;;0;Unknown;-;-
Vía 3;3;3;;0;Unknown;-;-
Calle Sánchez;Sánchez;Sánchez;;0;Unknown;-;-
Vía 721;721;721;;0;Unknown;-;-
Calle Los Llanos;Los Llanos;Los;Llanos;2;Female;-;-
Calle Los Llanos;Los Llanos;Los;Llanos;2;Female;-;-
Calle Limón;Limón;Limón;;0;Unknown;-;-
Calle Bosque Encantado;Bosque Encantado;Bosque;Encantado;0;Unknown;-;-
Boulevard;;;;0;Unknown;-;-
Boulevard;;;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Roble Sabana;Roble Sabana;Roble;Sabana;0;Unknown;-;-
Avenida del Jocote;Jocote;Jocote;;0;Unknown;-;-
Calle del Higuerón;Higuerón;Higuerón;;0;Unknown;-;-
Calle Torres;Torres;Torres;;0;Unknown;-;-
Calle Colpachí;Colpachí;Colpachí;;0;Unknown;-;-
Calle del Níspero;Níspero;Níspero;;0;Unknown;-;-
Avenida del Jocote;Jocote;Jocote;;0;Unknown;-;-
Calle del Mango;Mango;Mango;;0;Unknown;-;-
Radial Coyol;Radial Coyol;Radial;Coyol;0;Unknown;-;-
Radial Coyol;Radial Coyol;Radial;Coyol;0;Unknown;-;-
Calle Vueltas;Vueltas;Vueltas;;0;Unknown;-;-
Avenida Los Geranios;Los Geranios;Los;Geranios;0;Unknown;-;-
Avenida Los Claveles;Los Claveles;Los;Claveles;0;Unknown;-;-
Calle Los Llanos;Los Llanos;Los;Llanos;2;Female;-;-
Avenida Los Toros;Los Toros;Los;Toros;0;Unknown;-;-
Calle Los Geranios;Los Geranios;Los;Geranios;0;Unknown;-;-
