calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle San Ramón;San Ramón;San;Ramón;-2;Male;-;-
Ruta Nacional 140;Ruta Nacional 140;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle El Socorro;El Socorro;El;Socorro;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Socorro_Blanc_Ruiz
Calle Los Llanos;Los Llanos;Los;Llanos;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_los_Llanos_Lozano
Calle Esteban;Esteban;Esteban;;-2;Male;-;-
Avenida Llanos;Llanos;Llanos;;2;Female;-;-;https://es.wikipedia.org/wiki/Amparo_Llanos
Calle Llanos Este;Llanos Este;Llanos;Este;2;Female;-;-;https://es.wikipedia.org/wiki/Blanca_Estela_Pav%C3%B3n
Calle Llanos del Coyol;Llanos Coyol;Llanos;Coyol;2;Female;-;-;https://es.wikipedia.org/wiki/Eleanor_Columbus
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista José María Castro Madriz;pista José María Castro Madriz;pista;José;-2;Male;-;-
Avenida Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle La Virgen;La Virgen;La;Virgen;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_de_Hungr%C3%ADa_la_virgen
Calle Candelaria;Candelaria;Candelaria;;2;Female;-;-;https://es.wikipedia.org/wiki/Candelaria_de_San_Jos%C3%A9
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-;https://es.wikipedia.org/wiki/Linda_Stahl
Calle El Sol;El Sol;El;Sol;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_Soler
Calle Generosa;Generosa;Generosa;;2;Female;-;-;https://es.wikipedia.org/wiki/Generosa
Calle San Martín;San Martín;San;Martín;-2;Male;-;-
Ruta Nacional 3;Ruta Nacional 3;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Pascual Rodríguez;Pascual Rodríguez;Pascual;Rodríguez;-2;Male;-;-
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-
Calle Huascar;Huascar;Huascar;;-2;Male;-;-
Avenida Orquídea;Orquídea;Orquídea;;2;Female;-;-;https://es.wikipedia.org/wiki/Orquesta_Juventud_Percusionista_de_Catalu%C3%B1a
Principal Natura Viva;Natura Viva;Natura;Viva;2;Female;-;-;https://es.wikipedia.org/wiki/Aura_Rivas
Calle Divino Niño;Divino Niño;Divino;Niño;-2;Male;-;-
Calle Llanos Oeste;Llanos Oeste;Llanos;Oeste;2;Female;-;-;https://es.wikipedia.org/wiki/Blanca_Estela_Pav%C3%B3n
Calle Matilda;Matilda;Matilda;;2;Female;-;-;https://es.wikipedia.org/wiki/Matilde_II_de_Borb%C3%B3n
Avenida Buenos Aires;Buenos Aires;Buenos;Aires;-2;Male;-;-
Avenida Vista de Mar;Vista Mar;Vista;Mar;2;Female;-;-;https://es.wikipedia.org/wiki/Christa_Margot_Frohlich
