Ruta 417;Ruta 417
Ruta 417;Ruta 417
Vía 402;402
Vía 402;402
Ruta 417;Ruta 417
Vía 230;230
Vía 230;230
Vía 230;230
Vía 230;230
Calle 1;1
Avenida 3;3
Avenida Central;Central
Avenida 3;3
Calle 8;8
Avenida 1;1
Avenida Central;Central
Calle 1;1
Vía 403;403
Calle Pancracio;Pancracio
Calle 2;2
Calle Central;Central
Avenida 2;2
Avenida 2;2
Calle 6;6
Vía 402;402
Calle 6;6
Avenida 1;1
Vía 230;230
Avenida 3;3
Calle Central;Central
Avenida 3;3
Calle Granados;Granados
Calle las Aguas Oeste;las Aguas Oeste
Vía 230;230
Vía 230;230
Calle 4;4
Vía 402;402
Avenida 2;2
Vía 402;402
Vía 10;10
Vía 403;403
Vía 230;230
Calle La Enseñanza;La Enseñanza
Calle La Enseñanza;La Enseñanza
Vía 230;230
Calle Trojas;Trojas
Vía 10;10

