Vía 209;209
Avenida 2;2
Vía 209;209
Vía 313;313
Avenida Central;Central
Vía 209;209
Vía 222;222
Calle San José de la Montaña;San José Montaña
Avenida 1;1
Calle 1;1
Calle 7;7
Calle 2;2
Avenida 4;4
Calle 6;6
Calle 2;2
Avenida 3;3
Avenida 11;11
Avenida 9;9
Calle 1;1
Calle Limón;Limón
Avenida 9;9
Calle 2;2
Calle Central;Central
Calle Corazón de Jesús;Corazón Jesús
Calle San José de la Montaña;San José Montaña
Calle Limón;Limón
Calle 4A;4A
Calle San José;San José
Calle Rinconada;Rinconada
Calle Salitrillos;Salitrillos
Calle Rinconada;Rinconada
Calle 4A;4A
Vía 217;217
Calle Gamboa;Gamboa
Avenida 10;10
Avenida 12;12
Calle Díaz Fallas;Díaz Fallas
Calle Santa Teresita;Santa Teresita
Vía 209;209
Calle San José;San José
Calle San José;San José
Avenida 6;6
Calle San Antonio;San Antonio
Calle Los Manzanos;Los Manzanos
Calle Santa Elena;Santa Elena
Vía 313;313
Ruta Nacional 209;Ruta Nacional 209
Vía 209;209
Calle Cuesta de Piedra;Cuesta Piedra
Calle 13 de Enero;13 Enero
Calle La Primavera;La Primavera
Calle Encantada;Encantada
Calle San José de la Montaña;San José Montaña
Calle Santa Elena;Santa Elena
Calle el Trpiche;el Trpiche
Calle Azulillos;Azulillos
Avenida 2;2
Calle 1;1
Avenida 7;7
Calle 0A;0A
Calle 3;3
Calle 2;2
Calle Central;Central
Diagonal Central;Diagonal
Avenida 1;1
Calle 4;4
Avenida 3;3
Calle 7;7
Diagonal Central;Diagonal
Avenida 4;4
Avenida Central;Central
Vía 313;313
Vía 336;336
B° Los Cruz;B° Los Cruz
Calle La Planta;La Planta
Calle 4;4
Calle San José;San José
Calle 6;6
Calle 5;5
Calle Limón;Limón
Calle Limón;Limón
Vía 209;209
Vía 209;209
Calle Retana;Retana
Estacion Terrena ICE;Estacion Terrena ICE
Calle El Ambiente;El Ambiente
Calle Central;Central
Calle 4;4
Avenida 10;10
Avenida Central;Central
Avenida 1;1
Calle 5;5
Avenida 3;3
Calle 3;3
Avenida 5;5
Vía 312;312
Avenida 5;5
Avenida 7;7
Calle 3;3
Calle Central;Central
Vía 312;312
Avenida 8;8
Avenida 6;6
Calle 4;4
Avenida 1;1
Calle Hidalgo;Hidalgo
Calle Santa Lucía;Santa Lucía
Calle Rincón;Rincón
Calle Rincón;Rincón
Vía 313;313
Calle 3;3
Barrio Santa Lucia;Barrio Santa Lucia
Avenida 1;1
Calle 5;5
Avenida 1;1
Avenida 3;3
Avenida Central;Central
Calle 1;1
Calle 1A;1A
Calle 1B;1B
Calle El Alto;El Alto
Calle Azulillos;Azulillos
Calle La Planta;La Planta
Vía 209;209
Ruta Nacional 217;Ruta Nacional 217
Monterredondo - Jocotal;Monterredondo - Jocotal
Monterredondo - Jocotal;Monterredondo - Jocotal
Monterredondo;Monterredondo
Monterredondo;Monterredondo
Avenida 10;10
Calle Santa Teresita;Santa Teresita
Calle San José;San José
Calle Altavista-Tarbaca;Altavista-Tarbaca
Calle Central;Central
Vía 222;222
Calle Central;Central
Calle 2;2
Avenida 12;12
Calle Llano Bonito;Llano Bonito
Calle de la Joya-Tarbaca;Joya-Tarbaca
Calle Pinares;Pinares
Calle Chirogres-Tigre;Chirogres-Tigre
Calle Alto del Estillero-Tarbaca;Alto Estillero-Tarbaca
Calle al Alto del EStillero;al Alto EStillero
Calle Altavista-Jerico;Altavista-Jerico
Calle 6;6
Diagonal Central;Diagonal
Avenida 1;1
Calle 2;2
Calle Central;Central
Avenida 6;6
Avenida 1;1
Calle 2;2
Avenida 3;3
Calle 2;2
Calle 2;2
Avenida 3A;3A
Calle 6;6
Calle Central;Central
Avenida 3;3
Avenida 5;5
Avenida 5;5
Avenida 7;7
Calle Central;Central
Avenida 4;4
Calle 8;8
Calle 4;4
Avenida Central;Central
Avenida 2;2
Calle 3;3
Calle 5;5
Calle 7;7
Calle El Alto;El Alto
Ruta Nacional 209;Ruta Nacional 209
Calle Lajas;Lajas
Calle 7;7
Avenida 2;2
Calle Santa Teresita;Santa Teresita
Calle San Antonio;San Antonio
Calle Rincón;Rincón
Vía 209;209
Calle La Planta;La Planta
Calle Guinealillo;Guinealillo
Calle Lagunillas;Lagunillas
Calle Azulillos;Azulillos
Calle  Quebrada Honda-Altavista;Quebrada Honda-Altavista
Calle Rinconada;Rinconada
Calle Rinconada;Rinconada
Calle El Alto;El Alto
calle Tigre-Tranquerillas;Tigre-Tranquerillas
Vía 313;313
Vía 313;313
Monterredondo - Jocotal;Monterredondo - Jocotal
Monterredondo - Jocotal;Monterredondo - Jocotal
Avenida Central;Central
Calle 4;4
Calle 4;4
Calle 6;6
Calle 6;6
Vía 209;209
Vía 209;209
Vía 336;336
Sendero Dragón;Dragón
Vía 313;313

