calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle San José de la Montaña;San José Montaña;San;José;-2;Male;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-;https://es.wikipedia.org/wiki/Coraz%C3%B3n_Aquino
Calle San José;San José;San;José;-2;Male;-;-
Calle Santa Teresita;Santa Teresita;Santa;Teresita;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Teresita_de_J._Colotti
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Elena_de_Orleans
Ruta Nacional 209;Ruta Nacional 209;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle La Primavera;La Primavera;La;Primavera;2;Female;-;-;https://es.wikipedia.org/wiki/Primavera_Izaguirre
B° Los Cruz;B° Los Cruz;B°;Los;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_Cruzado
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Luc%C3%ADa_Dom%C3%ADnguez
Barrio Santa Lucia;Barrio Santa Lucia;Barrio;Santa;2;Female;-;-;https://es.wikipedia.org/wiki/Adriana_Luc%C3%ADa
Ruta Nacional 217;Ruta Nacional 217;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
