calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Marín Cañas;Marín Cañas;Marín;Cañas;-2;Male;-;-;
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-;
Calle Nicolás Aguilar;Nicolás Aguilar;Nicolás;Aguilar;-2;Male;-;-;
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;-;-;
Calle Armonía;Armonía;Armonía;;2;Female;-;-;https://es.wikipedia.org/wiki/Armon%C3%ADa_Somers
Calle Juan León;Juan León;Juan;León;-2;Male;-;-;
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;-;-;https://es.wikipedia.org/wiki/Leonor_Villegas_de_Magn%C3%B3n
Calle Jesús Montero;Jesús Montero;Jesús;Montero;-2;Male;-;-;
Calle Santiago Baudrit;Santiago Baudrit;Santiago;Baudrit;-2;Male;-;-;
Calle Miguel Garita;Miguel Garita;Miguel;Garita;-2;Male;-;-;
Calle Altos de San Pablo;Altos San Pablo;Altos;San;-2;Male;-;-;
Calle Paulino;Paulino;Paulino;;-2;Male;-;-;
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;-;-;https://es.wikipedia.org/wiki/Santa_Sara_del_Mar
Calle Don Lorenzo;Don Lorenzo;Don;Lorenzo;-2;Male;-;-;
Calle Doña Blanca;Doña Blanca;Doña;Blanca;2;Female;-;-;https://es.wikipedia.org/wiki/Teodora_Blanco_N%C3%BA%C3%B1ez
