Vía 114;114;114;;0;Unknown;-;-
Calle Quizara;Quizara;Quizara;;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Calle Jim-Ingrid;Jim-Ingrid;Jim-Ingrid;;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Sendero Laguna de Barva;Laguna Barva;Laguna;Barva;0;Unknown;-;-
Sendero Cacho de Venado;Cacho Venado;Cacho;Venado;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Calle Amapola;Amapola;Amapola;;2;Female;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle El Indio;El Indio;El;Indio;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Vía 114;114;114;;0;Unknown;-;-
Vía 114;114;114;;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Calle Jim-Ingrid;Jim-Ingrid;Jim-Ingrid;;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Calle Los Ángeles de Paso Llano;Los Ángeles Paso Llano;Los;Ángeles;2;Female;-;-
Calle Paso Llano;Paso Llano;Paso;Llano;0;Unknown;-;-
Sendero Laguna de Barva;Laguna Barva;Laguna;Barva;0;Unknown;-;-
Sendero Cacho de Venado;Cacho Venado;Cacho;Venado;0;Unknown;-;-
Calle Marín Cañas;Marín Cañas;Marín;Cañas;-2;Male;-;-
Calle Montecito;Montecito;Montecito;;0;Unknown;-;-
Calle Gallito;Gallito;Gallito;;0;Unknown;-;-
Vía 113;113;113;;0;Unknown;-;-
Vía 113;113;113;;0;Unknown;-;-
Calle Los Ángeles de Paso Llano;Los Ángeles Paso Llano;Los;Ángeles;2;Female;-;-
Calle La Callecilla;La Callecilla;La;Callecilla;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Calle Volcán Barva;Volcán Barva;Volcán;Barva;0;Unknown;-;-
Calle El Calvario;El Calvario;El;Calvario;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida La Ronda;La Ronda;La;Ronda;2;Female;-;-
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle Nicolás Aguilar;Nicolás Aguilar;Nicolás;Aguilar;-2;Male;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Vía 119;119;119;;0;Unknown;-;-
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-
Calle Las Violetas;Las Violetas;Las;Violetas;0;Unknown;-;-
Calle Las Amapolas;Las Amapolas;Las;Amapolas;0;Unknown;-;-
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;-;-
Calle Las Rosas;Las Rosas;Las;Rosas;0;Unknown;-;-
Calle Las Pomas;Las Pomas;Las;Pomas;0;Unknown;-;-
Avenida Cuarta;Cuarta;Cuarta;;0;Unknown;-;-
Calle Quinta;Quinta;Quinta;;0;Unknown;-;-
Avenida Primera;Primera;Primera;;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Calle Matasanos;Matasanos;Matasanos;;0;Unknown;-;-
Vía 128;128;128;;0;Unknown;-;-
Calle Terreros;Terreros;Terreros;;0;Unknown;-;-
Calle Terreros;Terreros;Terreros;;0;Unknown;-;-
Calle Los Geranios;Los Geranios;Los;Geranios;0;Unknown;-;-
Avenida Sexta;Sexta;Sexta;;0;Unknown;-;-
Calle La Plaza;La Plaza;La;Plaza;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Armonía;Armonía;Armonía;;2;Female;-;-
Calle Juan León;Juan León;Juan;León;-2;Male;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle F;F;F;;0;Unknown;-;-
Avenida 6A;6A;6A;;0;Unknown;-;-
Calle Los Pollos;Los Pollos;Los;Pollos;0;Unknown;-;-
Calle La Plaza;La Plaza;La;Plaza;0;Unknown;-;-
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;-;-
Calle González;González;González;;0;Unknown;-;-
Calle Cuarta;Cuarta;Cuarta;;0;Unknown;-;-
Calle UNA;UNA;UNA;;2;Female;-;-
Calle 12;12;12;;0;Unknown;-;-
Vía 502;502;502;;0;Unknown;-;-
Calle Camino Al Cielo;Camino Al Cielo;Camino;Al;2;Female;-;-
Avenida 4A;4A;4A;;0;Unknown;-;-
Calle Cementerio;Cementerio;Cementerio;;0;Unknown;-;-
Calle Testigo de Jehova;Testigo Jehova;Testigo;Jehova;-2;Male;-;-
Calle La Matilde;La Matilde;La;Matilde;2;Female;-;-
Avenida Primera;Primera;Primera;;0;Unknown;-;-
Calle Las Adelitas;Las Adelitas;Las;Adelitas;0;Unknown;-;-
Calle 8 Las Tulipanis;8 Las Tulipanis;8;Las;0;Unknown;-;-
Calle Naranjo;Naranjo;Naranjo;;0;Unknown;-;-
Calle 16;16;16;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle Los Muertos;Los Muertos;Los;Muertos;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle Tercera;Tercera;Tercera;;0;Unknown;-;-
Calle 4 Los Girasoles;4 Los Girasoles;4;Los;0;Unknown;-;-
Calle 5 Las Bouganvilleas;5 Las Bouganvilleas;5;Las;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Calle 6 Las Orquideas;6 Las Orquideas;6;Las;0;Unknown;-;-
Calle 1 Las Flores;1 Las Flores;1;Las;2;Female;-;-
Calle Segunda;Segunda;Segunda;;2;Female;-;-
Calle El Tanque;El Tanque;El;Tanque;0;Unknown;-;-
Calle El Tanque;El Tanque;El;Tanque;0;Unknown;-;-
Vía 114;114;114;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle Juan León;Juan León;Juan;León;-2;Male;-;-
Avenida 5;5;5;;0;Unknown;-;-
Calle Cuarta A;Cuarta A;Cuarta;A;0;Unknown;-;-
