calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Amapola;Amapola;Amapola;;2;Female;-;-;https://es.wikipedia.org/wiki/Amapola_Cabase
Calle Los Ángeles de Paso Llano;Los Ángeles Paso Llano;Los;Ángeles;2;Female;-;-;https://es.wikipedia.org/wiki/Los_%C3%81ngeles_de_Leakey
Calle Marín Cañas;Marín Cañas;Marín;Cañas;-2;Male;-;-
Avenida La Ronda;La Ronda;La;Ronda;2;Female;-;-;https://es.wikipedia.org/wiki/Laurinda_Hope_Spear
Avenida Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-
Calle Nicolás Aguilar;Nicolás Aguilar;Nicolás;Aguilar;-2;Male;-;-
Avenida Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;-;-
Calle Armonía;Armonía;Armonía;;2;Female;-;-;https://es.wikipedia.org/wiki/Armon%C3%ADa_Somers
Calle Juan León;Juan León;Juan;León;-2;Male;-;-
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;-;-;https://es.wikipedia.org/wiki/Leonor_Villegas_de_Magn%C3%B3n
Calle UNA;UNA;UNA;;2;Female;-;-;https://es.wikipedia.org/wiki/Una_Merkel
Calle Camino Al Cielo;Camino Al Cielo;Camino;Al;2;Female;-;-;https://es.wikinews.org/wiki/Categor%C3%ADa:Camila_Colombo
Calle Testigo de Jehova;Testigo Jehova;Testigo;Jehova;-2;Male;-;-
Calle La Matilde;La Matilde;La;Matilde;2;Female;-;-;https://es.wikipedia.org/wiki/Elsa_Matilde_Zardini
Calle 1 Las Flores;1 Las Flores;1;Las;2;Female;-;-;https://es.wikipedia.org/wiki/Macedonia_Blas_Flores
Calle Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Jesús Montero;Jesús Montero;Jesús;Montero;-2;Male;-;-
Calle Santiago Baudrit;Santiago Baudrit;Santiago;Baudrit;-2;Male;-;-
Calle Miguel Garita;Miguel Garita;Miguel;Garita;-2;Male;-;-
Calle El Ibis;El Ibis;El;Ibis;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_Bishop
Calle Altos de San Pablo;Altos San Pablo;Altos;San;-2;Male;-;-
Calle 2 Los Lirios;2 Los Lirios;2;Los;2;Female;-;-;https://es.wikipedia.org/wiki/Edda_de_los_R%C3%ADos
Calle Villa Barva;Villa Barva;Villa;Barva;2;Female;-;-;https://es.wikipedia.org/wiki/Vilma_Bardauskiene
Calle Paulino;Paulino;Paulino;;-2;Male;-;-
Calle Monte Alto;Monte Alto;Monte;Alto;2;Female;-;-;https://es.wikipedia.org/wiki/Clara_de_Montefalco
Calle Araya;Araya;Araya;;2;Female;-;-;https://es.wikipedia.org/wiki/Ray%C3%A9n_Araya
Calle Las Flores;Las Flores;Las;Flores;2;Female;-;-;https://es.wikipedia.org/wiki/Lola_Flores
Calle La Amada;La Amada;La;Amada;2;Female;-;-;https://es.wikipedia.org/wiki/Rita_Amada_de_Jes%C3%BAs
Calle Monte Carmelo;Monte Carmelo;Monte;Carmelo;2;Female;-;-;https://es.wikipedia.org/wiki/Montse_Castell%C3%A0
Calle Vega;Vega;Vega;;2;Female;-;-;https://es.wikipedia.org/wiki/Vega_(cantante)
Calle Nardo;Nardo;Nardo;;-2;Male;-;-
Avenida Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle La Esperanza;La Esperanza;La;Esperanza;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Esperanza_Franco-Molano
Calle La Gitana;La Gitana;La;Gitana;2;Female;-;-;https://es.wikipedia.org/wiki/Aniya_la_Gitana
Avenida Iris;Iris;Iris;;2;Female;-;-;https://es.wikipedia.org/wiki/Iris_(cantante_belga)
Calle La Reina;La Reina;La;Reina;2;Female;-;-;https://es.wikipedia.org/wiki/La_reina_del_albur
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;-;-;https://es.wikipedia.org/wiki/Santa_Sara_del_Mar
Calle Don Lorenzo;Don Lorenzo;Don;Lorenzo;-2;Male;-;-
Calle La Isla;La Isla;La;Isla;2;Female;-;-;https://es.wikipedia.org/wiki/Ladislava_Bakanic
Calle Los Araya;Los Araya;Los;Araya;2;Female;-;-;https://es.wikipedia.org/wiki/Loreto_Araya-Ayala
Calle Quinta Río Seco;Calle Quinta  Seco;Calle;Quinta;-2;Male;-;-
Calle Doña Blanca;Doña Blanca;Doña;Blanca;2;Female;-;-;https://es.wikipedia.org/wiki/Teodora_Blanco_N%C3%BA%C3%B1ez
