calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Auto Crem Rica;Crem Rica;Crem;Rica;2;Female;-;-;https://es.wikipedia.org/wiki/Andrea_Rica_Taboada
Avenida Montes Urales;Montes Urales;Montes;Urales;2;Female;-;-;https://es.wikipedia.org/wiki/Montserrat_Soliva_Torrent%C3%B3
Calle Montes Himalaya;Montes Himalaya;Montes;Himalaya;2;Female;-;-;https://es.wikipedia.org/wiki/Simone_Thomalla
Avenida Montes del Aguacate;Montes Aguacate;Montes;Aguacate;2;Female;-;-;https://es.wikipedia.org/wiki/Annie_Montague_Alexander
Avenida Monte Blanco;Monte Blanco;Monte;Blanco;2;Female;-;-;https://es.wikipedia.org/wiki/Sonia_Blanco
Avenida Sierra Madre;Sierra Madre;Sierra;Madre;2;Female;-;-;https://es.wikipedia.org/wiki/Sherri_Martel
Autopista Florencio del Castillo;pista Florencio Castillo;pista;Florencio;-2;Male;-;-
Calle Las Mercedes;Las Mercedes;Las;Mercedes;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_las_Mercedes_de_Orleans
Calle Antiguo Relleno Rio Azul;Antiguo Relleno Rio Azul;Antiguo;Relleno;-2;Male;-;-
Avenida La Marina;La Marina;La;Marina;2;Female;-;-;https://es.wikipedia.org/wiki/Anya_Marina
Calle Condominios Villa del Este;Condominios Villa Este;Condominios;Villa;2;Female;-;-;https://es.wikipedia.org/wiki/Doris_Willette
