calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle San José;San José;San;José;-2;Male;-;-;
Calle Viviana;Viviana;Viviana;;2;Female;-;-;
Calle Abelino;Abelino;Abelino;;-2;Male;-;-;
Calle Dina;Dina;Dina;;2;Female;-;-;https://es.wikipedia.org/wiki/Dina_(cantante)
Calle Amador;Amador;Amador;;-2;Male;-;-;
Calle Agripino Aguilar;Agripino Aguilar;Agripino;Aguilar;-2;Male;-;-;
Calle Crisóstomo Porras;Crisóstomo Porras;Crisóstomo;Porras;-2;Male;-;-;
Calle Ligia Méndez;Ligia Méndez;Ligia;Méndez;2;Female;-;-;
Calle San Pancracio;San Pancracio;San;Pancracio;-2;Male;-;-;
Calle San Martín;San Martín;San;Martín;-2;Male;-;-;
Calle Blanca Durán;Blanca Durán;Blanca;Durán;2;Female;-;-;
Calle Santa Eduviges;Santa Eduviges;Santa;Eduviges;2;Female;-;-;https://es.wikipedia.org/wiki/Eduvigis
Calle San Cayetano;San Cayetano;San;Cayetano;-2;Male;-;-;
Calle San Bosco;San Bosco;San;Bosco;-2;Male;-;-;
Santa Barbara;Santa Barbara;Santa;Barbara;2;Female;-;-;https://es.wikipedia.org/wiki/B%C3%A1rbara_de_Nicomedia
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Marcial Segura;Marcial Segura;Marcial;Segura;-2;Male;-;-;
Calle Rafaela Madrigal;Rafaela Madrigal;Rafaela;Madrigal;2;Female;-;-;
Calle San Gerardo;San Gerardo;San;Gerardo;-2;Male;-;-;
Calle Ingrid;Ingrid;Ingrid;;2;Female;-;-;
Calle Francisco Núñez;Francisco Núñez;Francisco;Núñez;-2;Male;-;-;
Calle Mercedes Valverde;Mercedes Valverde;Mercedes;Valverde;2;Female;-;-;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle Violeta;Violeta;Violeta;;2;Female;-;-;
