calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle San José;San José;San;José;-2;Male;-;-
Calle Jamaica;Jamaica;Jamaica;;2;Female;-;-;https://es.wikipedia.org/wiki/Jamaica_Kincaid
Calle El Sol;El Sol;El;Sol;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_Soler
Calle Viviana;Viviana;Viviana;;2;Female;-;-;https://es.wikipedia.org/wiki/Viviana_Sofronitsky
Ruta Nacional 209;Ruta Nacional 209;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Abelino;Abelino;Abelino;;-2;Male;-;-
Calle Altamira;Altamira;Altamira;;2;Female;-;-;https://es.wikipedia.org/wiki/Lucha_Altamirano
Calle Dina;Dina;Dina;;2;Female;-;-;https://es.wikipedia.org/wiki/Dina_(cantante)
Calle Nazareno;Nazareno;Nazareno;;-2;Male;-;-
Calle La Rosita;La Rosita;La;Rosita;2;Female;-;-;https://es.wikipedia.org/wiki/Anna_Rosina_de_Gasc
Calle Amador;Amador;Amador;;-2;Male;-;-
Calle Agripino Aguilar;Agripino Aguilar;Agripino;Aguilar;-2;Male;-;-
Calle El Carmen;El Carmen;El;Carmen;2;Female;-;-;https://es.wikipedia.org/wiki/Jewel_Carmen
Calle Estrella del Sur;Estrella Sur;Estrella;Sur;2;Female;-;-;https://es.wikipedia.org/wiki/Estrella_Morente
Calle La Esmeralda;La Esmeralda;La;Esmeralda;2;Female;-;-;https://es.wikipedia.org/wiki/Estela_Esmeralda_Tafolla
Calle Crisóstomo Porras;Crisóstomo Porras;Crisóstomo;Porras;-2;Male;-;-
Calle Ligia Méndez;Ligia Méndez;Ligia;Méndez;2;Female;-;-;https://es.wikipedia.org/wiki/Laura_M%C3%A9ndez_de_Cuenca
Calle San Pancracio;San Pancracio;San;Pancracio;-2;Male;-;-
Calle San Martín;San Martín;San;Martín;-2;Male;-;-
Calle Blanca Durán;Blanca Durán;Blanca;Durán;2;Female;-;-;https://es.wikipedia.org/wiki/Blanca_de_Anjou
Calle Santa Eduviges;Santa Eduviges;Santa;Eduviges;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Eduviges_de_Hesse-Darmstadt
Calle San Cayetano;San Cayetano;San;Cayetano;-2;Male;-;-
Calle Trinidad;Trinidad;Trinidad;;2;Female;-;-;https://es.wikipedia.org/wiki/Trinidad_Jim%C3%A9nez
Calle Antigua;Antigua;Antigua;;2;Female;-;-;https://es.wikisource.org/wiki/Autor:Sor_Mar%C3%ADa_de_la_Antigua
Calle San Bosco;San Bosco;San;Bosco;-2;Male;-;-
Santa Barbara;Santa Barbara;Santa;Barbara;2;Female;-;-;https://es.wikipedia.org/wiki/Susana_de_Albania
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Cara_Santa_Maria
Calle Marcial Segura;Marcial Segura;Marcial;Segura;-2;Male;-;-
Calle 19 de Mayo;19 Mayo;19;Mayo;-2;Male;-;-
La Constancia;La Constancia;La;Constancia;2;Female;-;-;https://es.wikipedia.org/wiki/Paulina_Constancia
Calle Rafaela Madrigal;Rafaela Madrigal;Rafaela;Madrigal;2;Female;-;-;https://es.wikipedia.org/wiki/Rafaela_Padilla_de_la_Garza
Calle La Palma;La Palma;La;Palma;2;Female;-;-;https://es.wikipedia.org/wiki/Lola_Palat%C3%ADn
Calle San Gerardo;San Gerardo;San;Gerardo;-2;Male;-;-
Calle Ingrid;Ingrid;Ingrid;;2;Female;-;-;https://es.wikipedia.org/wiki/Ingrid_Bergman
Calle Francisco Núñez;Francisco Núñez;Francisco;Núñez;-2;Male;-;-
Calle 17 de Abril;17 Abril;17;Abril;2;Female;-;-;https://es.wikipedia.org/wiki/Laia_Abril
Calle Mercedes Valverde;Mercedes Valverde;Mercedes;Valverde;2;Female;-;-;https://es.wikipedia.org/wiki/Mercedes_Valdivieso
Calle Luna;Luna;Luna;;2;Female;-;-;https://es.wikipedia.org/wiki/Luna_Mijovi%C4%87
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Luc%C3%ADa_Dom%C3%ADnguez
Calle Casa Blanca;Casa Blanca;Casa;Blanca;2;Female;-;-;https://es.wikipedia.org/wiki/Claudia_Casabianca
Ruta Nacional 214;Ruta Nacional 214;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Violeta;Violeta;Violeta;;2;Female;-;-;https://es.wikipedia.org/wiki/Violeta_Chamorro
Calle Los Marines;Los Marines;Los;Marines;2;Female;-;-;https://es.wikipedia.org/wiki/Tecla_Marinescu
