Carretera Interamericana Sur;Carretera americana Sur
Carretera Interamericana Sur;Carretera americana Sur
Calle 38;38
Avenida 48;48
Diagonal 74;Diagonal 74
Avenida José Figueres;José Figueres
Avenida 46;46
Calle 34;34
Calle 36;36
Calle Cuco Arrieta;Cuco Arrieta
Avenida 24;24
Avenida 30;30
Avenida 28;28
Avenida 26;26
Calle 34;34
Calle 38;38
Calle 36B;36B
Calle 36;36
Calle 36A;36A
Avenida 42;42
Calle 36A;36A
Avenida 44;44
Calle 38;38
Avenida 44;44
Calle 36;36
Calle Cuco Arrieta;Cuco Arrieta
Avenida 26;26
Calle 20A;20A
Calle 24;24
Calle 22A;22A
Avenida 28;28
Calle 46;46
Avenida 42;42
Calle 42;42
Avenida 40;40
Avenida 38;38
Calle 42;42
Avenida 50;50
Calle 46;46
Calle 46;46
Calle Pedro Barahona;Pedro Barahona
Avenida 48;48
Avenida 46A;46A
Avenida 34;34
Calle 30;30
Avenida 38;38
Calle 18;18
Vía 406;406
Avenida 58;58
Calle 76;76
Avenida 54A;54A
Avenida 56B;56B
Calle 52A;52A
Avenida 56;56
Avenida 54;54
Calle 56A;56A
Calle 54A;54A
Calle 54;54
Avenida 56A;56A
Avenida 56A;56A
Avenida 60A;60A
Avenida 56;56
Calle 48;48
Calle 48;48
Avenida 50;50
Avenida 52;52
Avenida 48A;48A
Avenida 48B;48B
Avenida 50;50
Avenida 50A;50A
Avenida 54A;54A
Avenida 52;52
Calle 50A;50A
Calle 52;52
Avenida 50A;50A
Avenida 64;64
Calle 54A;54A
Avenida 60;60
Calle 56;56
Calle 32;32
Calle 50A;50A
Calle 52;52
Calle 54;54
Calle 30;30
Calle 28;28
Calle 32;32
Calle Esteban Bejarano;Esteban Bejarano
Avenida 48;48
Avenida 46;46
Calle 26;26
Calle 36;36
Avenida 48A;48A
Avenida 50A;50A
Calle 28A;28A
Avenida 54;54
Avenida Pbro. José Vargas;Pbro. José Vargas
Avenida Juan Brenes;Juan Brenes
Avenida San Bosco;San Bosco
Calle 36A;36A
Calle 26D;26D
Avenida 48A;48A
Avenida 48A;48A
Avenida 48A;48A
Calle 22A;22A
Calle 26B;26B
Calle 26C;26C
Calle 26A;26A
