Carretera Interamericana Sur;Carretera americana Sur;Carretera;americana;0;Unknown;-;-
Carretera Interamericana Sur;Carretera americana Sur;Carretera;americana;0;Unknown;-;-
Calle 38;38;38;;0;Unknown;-;-
Avenida 48;48;48;;0;Unknown;-;-
Diagonal 74;Diagonal 74;Diagonal;74;0;Unknown;-;-
Avenida José Figueres;José Figueres;José;Figueres;-2;Male;-;-
Avenida 46;46;46;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Calle 36;36;36;;0;Unknown;-;-
Calle Cuco Arrieta;Cuco Arrieta;Cuco;Arrieta;2;Female;-;-
Avenida 24;24;24;;0;Unknown;-;-
Avenida 30;30;30;;0;Unknown;-;-
Avenida 28;28;28;;0;Unknown;-;-
Avenida 26;26;26;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Calle 38;38;38;;0;Unknown;-;-
Calle 36B;36B;36B;;0;Unknown;-;-
Calle 36;36;36;;0;Unknown;-;-
Calle 36A;36A;36A;;0;Unknown;-;-
Avenida 42;42;42;;0;Unknown;-;-
Calle 36A;36A;36A;;0;Unknown;-;-
Avenida 44;44;44;;0;Unknown;-;-
Calle 38;38;38;;0;Unknown;-;-
Avenida 44;44;44;;0;Unknown;-;-
Calle 36;36;36;;0;Unknown;-;-
Calle Cuco Arrieta;Cuco Arrieta;Cuco;Arrieta;2;Female;-;-
Avenida 26;26;26;;0;Unknown;-;-
Calle 20A;20A;20A;;0;Unknown;-;-
Calle 24;24;24;;0;Unknown;-;-
Calle 22A;22A;22A;;0;Unknown;-;-
Avenida 28;28;28;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Avenida 42;42;42;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 40;40;40;;0;Unknown;-;-
Avenida 38;38;38;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 50;50;50;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle Pedro Barahona;Pedro Barahona;Pedro;Barahona;-2;Male;-;-
Avenida 48;48;48;;0;Unknown;-;-
Avenida 46A;46A;46A;;0;Unknown;-;-
Avenida 34;34;34;;0;Unknown;-;-
Calle 30;30;30;;0;Unknown;-;-
Avenida 38;38;38;;0;Unknown;-;-
Calle 18;18;18;;0;Unknown;-;-
Vía 406;406;406;;0;Unknown;-;-
Avenida 58;58;58;;0;Unknown;-;-
Calle 76;76;76;;0;Unknown;-;-
Avenida 54A;54A;54A;;0;Unknown;-;-
Avenida 56B;56B;56B;;0;Unknown;-;-
Calle 52A;52A;52A;;0;Unknown;-;-
Avenida 56;56;56;;0;Unknown;-;-
Avenida 54;54;54;;0;Unknown;-;-
Calle 56A;56A;56A;;0;Unknown;-;-
Calle 54A;54A;54A;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Avenida 56A;56A;56A;;0;Unknown;-;-
Avenida 56A;56A;56A;;0;Unknown;-;-
Avenida 60A;60A;60A;;0;Unknown;-;-
Avenida 56;56;56;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Avenida 50;50;50;;0;Unknown;-;-
Avenida 52;52;52;;0;Unknown;-;-
Avenida 48A;48A;48A;;0;Unknown;-;-
Avenida 48B;48B;48B;;0;Unknown;-;-
Avenida 50;50;50;;0;Unknown;-;-
Avenida 50A;50A;50A;;0;Unknown;-;-
Avenida 54A;54A;54A;;0;Unknown;-;-
Avenida 52;52;52;;0;Unknown;-;-
Calle 50A;50A;50A;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Avenida 50A;50A;50A;;0;Unknown;-;-
Avenida 64;64;64;;0;Unknown;-;-
Calle 54A;54A;54A;;0;Unknown;-;-
Avenida 60;60;60;;0;Unknown;-;-
Calle 56;56;56;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Calle 50A;50A;50A;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 54;54;54;;0;Unknown;-;-
Calle 30;30;30;;0;Unknown;-;-
Calle 28;28;28;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Calle Esteban Bejarano;Esteban Bejarano;Esteban;Bejarano;-2;Male;-;-
Avenida 48;48;48;;0;Unknown;-;-
Avenida 46;46;46;;0;Unknown;-;-
Calle 26;26;26;;0;Unknown;-;-
Calle 36;36;36;;0;Unknown;-;-
Avenida 48A;48A;48A;;0;Unknown;-;-
Avenida 50A;50A;50A;;0;Unknown;-;-
Calle 28A;28A;28A;;0;Unknown;-;-
Avenida 54;54;54;;0;Unknown;-;-
Avenida Pbro. José Vargas;Pbro. José Vargas;Pbro.;José;-2;Male;-;-
Avenida Juan Brenes;Juan Brenes;Juan;Brenes;-2;Male;-;-
Avenida San Bosco;San Bosco;San;Bosco;-2;Male;-;-
Calle 36A;36A;36A;;0;Unknown;-;-
Calle 26D;26D;26D;;0;Unknown;-;-
Avenida 48A;48A;48A;;0;Unknown;-;-
Avenida 48A;48A;48A;;0;Unknown;-;-
Avenida 48A;48A;48A;;0;Unknown;-;-
Calle 22A;22A;22A;;0;Unknown;-;-
Calle 26B;26B;26B;;0;Unknown;-;-
Calle 26C;26C;26C;;0;Unknown;-;-
Calle 26A;26A;26A;;0;Unknown;-;-
Avenida 50;50;50;;0;Unknown;-;-
Calle 24;24;24;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Avenida Asunción;Asunción;Asunción;;2;Female;-;-
Avenida 48A;48A;48A;;0;Unknown;-;-
Avenida 52;52;52;;0;Unknown;-;-
Avenida Pbro. José Vargas;Pbro. José Vargas;Pbro.;José;-2;Male;-;-
Calle 38;38;38;;0;Unknown;-;-
Carretera Interamericana Sur;Carretera americana Sur;Carretera;americana;0;Unknown;-;-
Avenida 60;60;60;;0;Unknown;-;-
Avenida 52A;52A;52A;;0;Unknown;-;-
Calle 50A;50A;50A;;0;Unknown;-;-
Calle 50B;50B;50B;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Avenida 64;64;64;;0;Unknown;-;-
Avenida 54;54;54;;0;Unknown;-;-
Avenida 62;62;62;;0;Unknown;-;-
Calle 48B;48B;48B;;0;Unknown;-;-
Avenida 60;60;60;;0;Unknown;-;-
Vía 222;222;222;;0;Unknown;-;-
Calle 26B;26B;26B;;0;Unknown;-;-
Calle 32A;32A;32A;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Avenida 44B;44B;44B;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 54;54;54;;0;Unknown;-;-
Calle 22;22;22;;0;Unknown;-;-
Avenida 60A;60A;60A;;0;Unknown;-;-
Avenida 64;64;64;;0;Unknown;-;-
Avenida 60B;60B;60B;;0;Unknown;-;-
Avenida 64A;64A;64A;;0;Unknown;-;-
Calle 46C;46C;46C;;0;Unknown;-;-
Avenida 60B;60B;60B;;0;Unknown;-;-
Calle 46A;46A;46A;;0;Unknown;-;-
Avenida 60A;60A;60A;;0;Unknown;-;-
