Vía 310;310;310;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Calle Coyotes;Coyotes;Coyotes;;0;Unknown;-;-
Avenida Palomas;Palomas;Palomas;;0;Unknown;-;-
Vía 310;310;310;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Calle Azofeifa;Azofeifa;Azofeifa;;0;Unknown;-;-
Calle La Granja;La Granja;La;Granja;0;Unknown;-;-
Calle Miravalles Sur;Miravalles Sur;Miravalles;Sur;0;Unknown;-;-
Real Intercontinental;Intercontinental;Intercontinental;;0;Unknown;-;-
Calle Miravalles;Miravalles;Miravalles;;0;Unknown;-;-
Calle Miravalles Oeste;Miravalles Oeste;Miravalles;Oeste;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Sheraton;Sheraton;Sheraton;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle Herrera;Herrera;Herrera;;0;Unknown;-;-
Calle Coopegachipelín;Coopegachipelín;Coopegachipelín;;0;Unknown;-;-
Calle Coopegachipelín;Coopegachipelín;Coopegachipelín;;0;Unknown;-;-
Calle Coopegachipelín;Coopegachipelín;Coopegachipelín;;0;Unknown;-;-
Calle Boquerón;Boquerón;Boquerón;;0;Unknown;-;-
Calle San Gabriel;San Gabriel;San;Gabriel;-2;Male;-;-
Acceso 7;Acceso 7;Acceso;7;0;Unknown;-;-
Acceso 6;Acceso 6;Acceso;6;0;Unknown;-;-
Boulevard Los Olivos;Los Olivos;Los;Olivos;0;Unknown;-;-
Boulevard Los Olivos;Los Olivos;Los;Olivos;0;Unknown;-;-
Acceso 5;Acceso 5;Acceso;5;0;Unknown;-;-
Boulevard Los Olivos;Los Olivos;Los;Olivos;0;Unknown;-;-
Acceso 4;Acceso 4;Acceso;4;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Boulevard Los Olivos;Los Olivos;Los;Olivos;0;Unknown;-;-
Boulevard Los Olivos;Los Olivos;Los;Olivos;0;Unknown;-;-
Acceso 3;Acceso 3;Acceso;3;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle TVA;TVA;TVA;;0;Unknown;-;-
Calle 164;164;164;;0;Unknown;-;-
Calle 0;0;0;;0;Unknown;-;-
Calle Torres;Torres;Torres;;0;Unknown;-;-
Avenida 63;63;63;;0;Unknown;-;-
Calle Trapiche Viejo;Trapiche Viejo;Trapiche;Viejo;0;Unknown;-;-
Calle 17;17;17;;0;Unknown;-;-
Calle Mango;Mango;Mango;;0;Unknown;-;-
Calle Helechos;Helechos;Helechos;;0;Unknown;-;-
Calle Térraba;Térraba;Térraba;;0;Unknown;-;-
Calle Club;Club;Club;;0;Unknown;-;-
