Calle Cero;Cero;Cero;;0;Unknown;-;-
Calle Ugalde;Ugalde;Ugalde;;0;Unknown;-;-
Calle La Rinconada;La Rinconada;La;Rinconada;0;Unknown;-;-
Boulevard Villa Flores;Boulevard  Flores;Boulevard;;2;Female;-;-
Calle Los Profesionales;Los Profesionales;Los;Profesionales;0;Unknown;-;-
Avenida Dos;Dos;Dos;;0;Unknown;-;-
Calle Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Avenida del Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Calle Segunda;Segunda;Segunda;;2;Female;-;-
Calle del Río;Calle del;Calle;del;0;Unknown;-;-
Calle Dulce Nombre;Dulce Nombre;Dulce;Nombre;2;Female;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida Cuarta;Cuarta;Cuarta;;0;Unknown;-;-
Avenida Tres;Tres;Tres;;0;Unknown;-;-
Avenida Uno;Uno;Uno;;0;Unknown;-;-
Calle La Morgue;La Morgue;La;Morgue;0;Unknown;-;-
Calle Tercera;Tercera;Tercera;;0;Unknown;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Calle Cinco;Cinco;Cinco;;0;Unknown;-;-
Calle Segunda;Segunda;Segunda;;2;Female;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Calle Cuarta;Cuarta;Cuarta;;0;Unknown;-;-
Calle Dos;Dos;Dos;;0;Unknown;-;-
Calle Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Calle Segunda;Segunda;Segunda;;2;Female;-;-
Calle Cinco;Cinco;Cinco;;0;Unknown;-;-
Calle Seis;Seis;Seis;;0;Unknown;-;-
Calle Tres;Tres;Tres;;0;Unknown;-;-
Avenida Tercera;Tercera;Tercera;;0;Unknown;-;-
Calle Tercera;Tercera;Tercera;;0;Unknown;-;-
Avenida Norte;Norte;Norte;;0;Unknown;-;-
Vía 123;123;123;;0;Unknown;-;-
Calle Tres;Tres;Tres;;0;Unknown;-;-
Calle Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Boulevard Villa Flores;Boulevard  Flores;Boulevard;;2;Female;-;-
Boulevard Villa Flores;Boulevard  Flores;Boulevard;;2;Female;-;-
Boulevard Villa Flores;Boulevard  Flores;Boulevard;;2;Female;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Calle Dos;Dos;Dos;;0;Unknown;-;-
Calle La Soledad;La Soledad;La;Soledad;2;Female;-;-
Calle Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Calle Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Calle Los Sánchez;Los Sánchez;Los;Sánchez;0;Unknown;-;-
Calle La Morgue;La Morgue;La;Morgue;0;Unknown;-;-
Avenida del Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Calle La Soledad;La Soledad;La;Soledad;2;Female;-;-
Calle La Soledad;La Soledad;La;Soledad;2;Female;-;-
Calle Cero;Cero;Cero;;0;Unknown;-;-
Calle Cero;Cero;Cero;;0;Unknown;-;-
Calle Los Sánchez;Los Sánchez;Los;Sánchez;0;Unknown;-;-
Calle Los Sánchez;Los Sánchez;Los;Sánchez;0;Unknown;-;-
Calle Cuarta;Cuarta;Cuarta;;0;Unknown;-;-
Avenida Primera;Primera;Primera;;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Avenida Quinta;Quinta;Quinta;;0;Unknown;-;-
Calle Quinta;Quinta;Quinta;;0;Unknown;-;-
Avenida Segunda;Segunda;Segunda;;2;Female;-;-
Calle Sexta;Sexta;Sexta;;0;Unknown;-;-
Calle La Rinconada;La Rinconada;La;Rinconada;0;Unknown;-;-
Calle Tres;Tres;Tres;;0;Unknown;-;-
Boulevard Villa Flores;Boulevard  Flores;Boulevard;;2;Female;-;-
Avenida Dos;Dos;Dos;;0;Unknown;-;-
Calle del Río;Calle del;Calle;del;0;Unknown;-;-
Vía 119;119;119;;0;Unknown;-;-
Calle Tambor;Tambor;Tambor;;0;Unknown;-;-
Calle Ugalde;Ugalde;Ugalde;;0;Unknown;-;-
Calle Las Lavadoras;Las Lavadoras;Las;Lavadoras;0;Unknown;-;-
Calle La Rinconada;La Rinconada;La;Rinconada;0;Unknown;-;-
Calle Maderos;Maderos;Maderos;;0;Unknown;-;-
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;-;-
Calle D;D;D;;0;Unknown;-;-
Calle Zamora;Zamora;Zamora;;0;Unknown;-;-
Calle E;E;E;;0;Unknown;-;-
