calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Boulevard Villa Flores;Boulevard  Flores;Boulevard;;2;Female;-;-;https://es.wikipedia.org/wiki/Yolanda_Flores
Calle Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Dulce Nombre;Dulce Nombre;Dulce;Nombre;2;Female;-;-;https://es.wikipedia.org/wiki/Dulce_Pontes
Calle La Soledad;La Soledad;La;Soledad;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Soledad_Iparraguirre
Avenida Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Marcos Víquez;Marcos Víquez;Marcos;Víquez;-2;Male;-;-
Calle El Progreso;El Progreso;El;Progreso;-2;Male;-;-
Calle Jericó;Jericó;Jericó;;-2;Male;-;-
Calle José Muñoz;José Muñoz;José;Muñoz;-2;Male;-;-
Calle La Virgen;La Virgen;La;Virgen;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_de_Hungr%C3%ADa_la_virgen
Calle San Roque;San Roque;San;Roque;-2;Male;-;-
Calle San Lorenzo;San Lorenzo;San;Lorenzo;-2;Male;-;-
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Cara_Santa_Maria
Arboleda Feliz Izq;Arboleda Feliz Izq;Arboleda;Feliz;-2;Male;-;-
Arboleda Feliz  Der;Arboleda Feliz  Der;Arboleda;Feliz;-2;Male;-;-
Calle Wilson Víquez;Wilson Víquez;Wilson;Víquez;-2;Male;-;-
Calle La Trinidad;La Trinidad;La;Trinidad;2;Female;-;-;https://es.wikipedia.org/wiki/Zelina_Vega
Calle Joaquín Arias;Joaquín Arias;Joaquín;Arias;-2;Male;-;-
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Elena_de_Orleans
Calle Pérez;Pérez;Pérez;;-2;Male;-;-
Calle Vidal;Vidal;Vidal;;-2;Male;-;-
Calle del Sol;Sol;Sol;;2;Female;-;-;https://es.wikipedia.org/wiki/Solange_Knowles
