Calle Mozotal;Mozotal
Vía 205;205
Calle Cuesta Grande;Cuesta Grande
Vía 216;216
Calle 83B;83B
Calle 83A;83A
Calle Purral;Purral
Calle del Río;Calle del
Calle 87;87
Calle 91;91
Calle Purral;Purral
Diagonal 57;Diagonal 57
Calle 115A;115A
Paseo Cabagra;Cabagra
Avenida  Kurú;Kurú
Calle 107;107
Calle 101;101
Avenida 55A;55A
Avenida 53A;53A
Calle 75A;75A
Calle 87A;87A
Calle 89;89
Calle 97;97
Calle 97;97
Calle 85;85
Avenida 59;59
Avenida 41;41
Calle 83;83
Calle Morales;Morales
Calle 105;105
Avenida Los Higos;Los Higos
Calle Las Fresas;Las Fresas
Avenida Almendras;Almendras
Calle 129;129
Paseo del Bosque;Bosque
Calle 103;103
Avenida 59;59
Avenida 57;57
Avenida 59;59
Avenida 61;61
Calle 141;141
Avenida 59;59
Calle 149A;149A
Paseo del Bosque;Bosque
Avenida Víctor Méndez;Víctor Méndez
Calle 141A;141A
Avenida 71A;71A
Calle La Piedra;La Piedra
Calle 171;171
Calle la Isla;la Isla
Calle Juan XXIII;Juan XXIII
Avenida Las Cerezas;Las Cerezas
Calle Los Vacos;Los Vacos
Calle Mozotal;Mozotal
Alameda Los Jocotes;Alameda Los Jocotes
Calle Nazareno;Nazareno
Calle Purral;Purral
Calle 157A;157A
Avenida 59;59
Avenida Miramar;Miramar
Calle El Bosque;El Bosque
Calle 155;155
Calle 91;91
Calle 87A;87A
Avenida 63;63
Calle 179;179
Calle 159;159
Calle 185;185
Calle 159;159
Calle 159A;159A
Calle 157A;157A
Calle 157;157
Avenida 61A;61A
Calle El Bosque;El Bosque
Calle Purral;Purral
Calle 161;161
Calle Purral;Purral
Calle Purral;Purral
Avenida 61;61
Calle 153A;153A
Avenida 59;59
Avenida 61B;61B
Calle 157A;157A
Calle 113;113
Calle 139;139
Avenida 67;67
Calle 165;165
Calle 163A;163A
Calle 171;171
Calle Copalchí;Copalchí
Avenida 55;55
Avenida 63A;63A
Calle Gutiérrez;Gutiérrez
Calle 129A;129A
Calle 95;95
Calle Solís;Solís
Calle 113;113
Calle 125;125
Calle Purral 2;Purral 2
Calle 113;113
Calle 115;115
Avenida 65A;65A
Calle Mozotal;Mozotal
Avenida 67;67
Calle La Piedra;La Piedra
Calle 153;153
Calle 157;157
Calle 137;137
Calle 153;153
Calle 155;155
Calle 147A;147A
Calle 149;149
Calle 145;145
Calle 157;157
Calle 163A;163A
Calle 137A;137A
Calle 139A;139A
Avenida 63;63
Calle 117;117
Calle 83A;83A
Avenida 75A;75A
Calle 159A;159A
Calle 159;159
Calle 153A;153A
Calle Zetillal;Zetillal
Calle 155A;155A
Calle Las Ciruelas;Las Ciruelas
Avenida 77;77
Calle Los Mangos;Los Mangos
Avenida 73;73
Calle 77;77
Calle 87;87
Calle 141;141
Avenida Víctor Méndez;Víctor Méndez
Calle 127;127
Diagonal 41;Diagonal 41
Avenida Ricardo Orfila;Ricardo Orfila
Calle Purral;Purral
Calle 149;149
Calle 117;117
Calle 135;135
Avenida 59;59
Avenida 59;59
Calle 121;121
Calle 147;147
Calle 151;151
Avenida 61;61
Avenida 65A;65A
Avenida 71C;71C
Alameda Sandías;Alameda Sandías
Calle 125;125
Calle 149B;149B
Avenida 57;57
Calle 123;123
Calle 149A;149A
Calle 127;127
Avenida 57A;57A
Calle 159A;159A
Calle 169A;169A
Avenida 63;63
Avenida 65A;65A
Calle 151A;151A
Avenida 71B;71B
Calle 157A;157A
Calle 169A;169A
Avenida 63;63
Calle 147A;147A
Calle 149A;149A
Avenida 61;61
Calle 149A;149A
Calle 151;151
Avenida 55;55
Calle Las Moras;Las Moras
Calle 135;135
Calle 121;121
Avenida 57B;57B
Calle 161;161
Avenida 63;63
Calle 163;163
Calle 145;145
Avenida 55A;55A
Calle 121;121
Diagonal 41;Diagonal 41
Avenida Los Nísperos;Los Nísperos
Avenida 59;59
Avenida 63A;63A
Avenida 65;65
Calle 147;147
Calle 139B;139B
Calle 143;143
Calle 145A;145A
Calle 157B;157B
Avenida 59B;59B
Calle 143A;143A
Calle 157A;157A
Calle 147;147
Calzada Gastón Michelli;Gastón Michelli
Calle 117;117
Calle 113A;113A
Avenida 63;63
Calle 143;143
Calle 117A;117A
Avenida 69;69
Calle 169B;169B
Avenida 53;53
Avenida 77;77
Calle Soto;Soto
Avenida 69;69
Avenida 65;65
Calle 159B;159B
Avenida 65A;65A
Avenida 55B;55B
Calle 131;131
Calle 85A;85A
Calle 185;185
Calle Mozotal;Mozotal
Calle Rivera;Rivera
Vía 218;218
Vía 218;218
Vía 218;218
Vía 218;218
Vía 218;218
Calle 171A;171A
Vía 218;218
Calle Jaboncillal;Jaboncillal
Calle 145;145
Calle 139;139
Calle 145;145
Calle 149;149
Calle 141A;141A
Calle 133;133
Avenida Miramar;Miramar
Calle Purral;Purral
Calle 151;151
Calle 151A;151A
Avenida 59A;59A
Calle 161;161
Avenida 65;65
Avenida 63A;63A
Avenida 63A;63A
Avenida 63;63
Avenida 61B;61B
Avenida 61A;61A
Calle 157B;157B
Avenida 63A;63A
Calle 147;147
Avenida 59A;59A
Calle 169;169
Calle 173;173
Calle 171A;171A
Avenida 71;71
Calle 169A;169A
Avenida 79;79
Calle 149A;149A
Avenida Las Cerezas;Las Cerezas
Paseo del Bosque;Bosque
Calle del Río;Calle del
Calle 141B;141B
Calle Mozotal;Mozotal
Calle Gutiérrez;Gutiérrez
Avenida 71;71
Calle 115;115
Calle 119;119
Calle 81;81
Diagonal 43;Diagonal 43
Avenida 59;59
Avenida 59A;59A
Vía 205;205
Vía 205;205
Calle San Francisco;San Francisco
Calle San Francisco;San Francisco
Calle 117;117
Calle 141A;141A
Avenida 77;77
Calle 157;157
Calle Durazno;Durazno
Calle 151A;151A
Vía 218;218
Vía 218;218
Calle Durazno;Durazno
Vía 218;218
Calle 143;143
Avenida 69;69
Vía 218;218
Vía 218;218
Vía 218;218
Vía 218;218
Calle Mozotal;Mozotal
Calle Mozotal;Mozotal
Vía 218;218
Calle 173A;173A
Avenida 73A;73A
Calle 169;169
Calle 167;167
Calle Purral;Purral
Avenida 67A;67A
Calle Purral;Purral
Calle 163;163
Calle 161;161
Avenida 57A;57A
Calle 157B;157B
Calle 147A;147A
Calle 137A;137A
Calle 153;153
Calle 153A;153A
Avenida 55A;55A
Avenida 51;51
Calle del Río;Calle del
Calle del Río;Calle del
Calle Nazareno;Nazareno
Calle 147;147
Alameda Piña;Alameda Piña
Calle Rodney Herrera;Rodney Herrera
Avenida 67;67
Calle Kurú;Kurú
Calle Purral;Purral
Calle Purral;Purral
Calle Purral 2;Purral 2
Calle Purral 2;Purral 2
Calle 105A;105A
Calle Purral 2;Purral 2
Calle 123;123
Avenida 55;55
Calle 89A;89A
Avenida 59;59
Avenida 55;55
Vía 205;205
Vía 205;205
Calle Jaboncillal;Jaboncillal
Calle 189;189
Vía 205;205
Calle Copalchí;Copalchí
Calle Copalchí;Copalchí
Avenida 63;63
Avenida 63;63
Calle 79;79
Calle 75;75
Calle 77B;77B
Diagonal 45;Diagonal 45
Calle 83;83
Avenida 61;61
Vía 218;218
Vía 218;218
Calle Purral;Purral
Calle Mozotal;Mozotal
Calle Mozotal;Mozotal
Vía 218;218
Calle 189;189
Calle 89;89
Vía 218;218
Calle 119;119
Calle 157A;157A
Calle 71;71
Vía 218;218
Transversal 89;Transversal 89
Calle 91;91
Calle 91;91
Vía 205;205
Vía 205;205
Vía 218;218
Vía 218;218
Calle la Isla;la Isla
Calle Guayabillos;Guayabillos
Calle La Socola;La Socola
Calle Rancho Redondo;Rancho Redondo
Calle La Isla;La Isla
Calle La Isla;La Isla
Vía 218;218
Calle La Socola;La Socola
Avenida 35;35
Diagonal 23;Diagonal 23
Avenida 27;27
Transversal 7;Transversal 7
Avenida 27;27
Avenida 17;17
Diagonal 23;Diagonal 23
Calle 21;21
Avenida 23;23
Calle 17;17
Avenida 17;17
Paseo de la Segunda República;Segunda República
Paseo de la Segunda República;Segunda República
Avenida 31;31
Transversal 7;Transversal 7
Calle 23;23
Calle 41;41
Vía 109;109
Avenida 19;19
Avenida 23;23
Calle 39;39
Calle 43;43
Calle 43;43
Calle 39;39
Avenida 33;33
Avenida 39;39
Calle 55;55
Vía 109;109
Calle Monseñor Víctor M. Sanabria Martínez;Monseñor Víctor M. Sanabria Martínez
Avenida 17A;17A
Avenida 15;15
Vía 218;218
Calle 49;49
Calle 43;43
Calle 43A;43A
Calle 45;45
Calle 47;47
Calle 45A;45A
Calle 51;51
Calle Edgar Ardón;Edgar Ardón
Avenida 33;33
Calle 57;57
Paseo de la Segunda República;Segunda República
Paseo de la Segunda República;Segunda República
Calle 55;55
Diagonal 39;Diagonal 39
Avenida 29;29
Calle 41A;41A
Calle 37;37
Avenida 41;41
Calle 63;63
Diagonal 35;Diagonal 35
Vía 218;218
Vía 205;205
Calle Cuesta Grande;Cuesta Grande
Calle Estéfana;Estéfana
Avenida 41;41
Calle 73D;73D
Calle Paso Hondo;Paso Hondo
Avenida 27;27
Avenida 25;25
Calle 59;59
Calle 63;63
Calle 59;59
Calle 61A;61A
Avenida 35A;35A
Avenida 37;37
Calle 55;55
Avenida 35;35
Diagonal 35;Diagonal 35
Calle 1;1
Calle 5;5
Calle 3;3
Autopista Braulio Carrillo;pista Braulio Carrillo
Diagonal 39;Diagonal 39
Calle Purral;Purral
Calle 101;101
Calle 103;103
Calle 103A;103A
Calle 105;105
Avenida 47A;47A
Calle 97;97
Calle 99A;99A
Avenida 47;47
Avenida 45;45
Calle 85A;85A
Calle 75A;75A
Calle 73C;73C
Calle 77;77
Avenida 39;39
Calle 75;75
Avenida 31A;31A
Avenida 29;29
Calle 69A;69A
Avenida 37;37
Avenida 35;35
Calle 63;63
Calle 65;65
Calle 57;57
Calle 57A;57A
Avenida 41;41
Calle 57B;57B
Calle 61;61
Avenida 41;41
Transversal 57;Transversal 57
Avenida 39A;39A
Calle 59;59
Diagonal 37;Diagonal 37
Diagonal 37;Diagonal 37
Calle 49;49
Transversal 43;Transversal 43
Avenida 35A;35A
Plaza 35;35
Calle 45;45
Calle 45;45
Diagonal 35;Diagonal 35
Diagonal 33A;Diagonal 33A
Avenida 43;43
Calle 45;45
Diagonal 37A;Diagonal 37A
Diagonal 37;Diagonal 37
Calle 47;47
Calle 53;53
Avenida 37A;37A
Calle 39;39
Calle 35;35
Calle 33;33
Calle 27;27
Diagonal 39A;Diagonal 39A
Calle 17;17
Avenida 37B;37B
Avenida 37A;37A
Avenida 37;37
Avenida 35A;35A
Avenida 35;35
Avenida 39B;39B
Calle 23A;23A
Avenida 35A;35A
Avenida 35;35
Calle 29;29
Avenida 29A;29A
Avenida 19;19
Calle 23;23
Calle 17;17
Calle 39;39
Avenida 31;31
Avenida 29;29
Calle 33;33
Calle 31;31
Calle 19A;19A
Calle 21;21
Calle 17A;17A
Calle 31;31
Avenida 37B;37B
Avenida 37A;37A
Avenida 35;35
Calle 91A;91A
Avenida 47;47
Avenida 45A;45A
Avenida 45;45
Avenida 43A;43A
Avenida 47B;47B
Calle 89A;89A
Avenida 49A;49A
Avenida 51;51
Calle 91;91
Calle 91A;91A
Calle 93;93
Avenida 49B;49B
Avenida 41;41
Calle 83;83
Calle 79;79
Calle 85;85
Avenida 45A;45A
Avenida 45C;45C
Calle 87;87
Calle 89;89
Calle 87A;87A
Vía 205;205
Diagonal 23;Diagonal 23
Calle 71;71
Avenida 41;41
Avenida 41;41
Avenida 27;27
Avenida 27;27
Calle Edgar Ardón;Edgar Ardón
Calle 57;57
Calle 57;57
Avenida 27;27
Avenida 27;27
Calle 71A;71A
Calle 75;75
Calle 29A;29A
Calle 9;9
Calle 11;11
Calle 13;13
Avenida 21;21
Avenida 33;33
Avenida 35;35
Calle 51;51
Avenida 15;15
Avenida 17;17
Calle 1A;1A
Avenida 17;17
Avenida 25A;25A
Calle 53A;53A
Calle 51;51
Avenida 27;27
Calle 61;61
Calle 67;67
Calle 59A;59A
Calle 59A;59A
Avenida 37;37
Calle 61A;61A
Calle 61;61
Calle 65A;65A
Diagonal 35A;Diagonal 35A
Calle 35;35
Calle 67;67
Avenida 39;39
Calle 9;9
Avenida 15A;15A
Avenida 33;33
Calle 67A;67A
Calle 121;121
Calle 21;21
Calle 23;23
Calle 129;129
Diagonal 23;Diagonal 23
Calle 23;23
Calle 23;23
Avenida 17;17
Avenida 17;17
Calle 113;113
Calle 115;115
Avenida 47A;47A
Avenida 47;47
Avenida 47;47
Avenida 45A;45A
Calle 111A;111A
Calle 117A;117A
Avenida 45A;45A
Calle 113A;113A
Avenida 17A;17A
Calle 157A;157A
Calle 55;55
Avenida 33;33
Calle 65;65
Calle 127;127
Calle 131;131
Avenida 45;45
Calle 129A;129A
Avenida 51;51
Calle 119;119
Calle 113;113
Calle 111;111
Calle 121;121
Calle 41;41
Avenida 25;25
Avenida 15;15
Calle 11A;11A
Avenida 15;15
Calle 1;1
Calle 35;35
