Calle Mozotal;Mozotal;Mozotal;;0;Unknown;-;-
Vía 205;205;205;;0;Unknown;-;-
Calle Cuesta Grande;Cuesta Grande;Cuesta;Grande;0;Unknown;-;-
Vía 216;216;216;;0;Unknown;-;-
Calle 83B;83B;83B;;0;Unknown;-;-
Calle 83A;83A;83A;;0;Unknown;-;-
Calle Purral;Purral;Purral;;0;Unknown;-;-
Calle del Río;Calle del;Calle;del;0;Unknown;-;-
Calle 87;87;87;;0;Unknown;-;-
Calle 91;91;91;;0;Unknown;-;-
Calle Purral;Purral;Purral;;0;Unknown;-;-
Diagonal 57;Diagonal 57;Diagonal;57;0;Unknown;-;-
Calle 115A;115A;115A;;0;Unknown;-;-
Paseo Cabagra;Cabagra;Cabagra;;0;Unknown;-;-
Avenida  Kurú;Kurú;Kurú;;0;Unknown;-;-
Calle 107;107;107;;0;Unknown;-;-
Calle 101;101;101;;0;Unknown;-;-
Avenida 55A;55A;55A;;0;Unknown;-;-
Avenida 53A;53A;53A;;0;Unknown;-;-
Calle 75A;75A;75A;;0;Unknown;-;-
Calle 87A;87A;87A;;0;Unknown;-;-
Calle 89;89;89;;0;Unknown;-;-
Calle 97;97;97;;0;Unknown;-;-
Calle 97;97;97;;0;Unknown;-;-
Calle 85;85;85;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Avenida 41;41;41;;0;Unknown;-;-
Calle 83;83;83;;0;Unknown;-;-
Calle Morales;Morales;Morales;;0;Unknown;-;-
Calle 105;105;105;;0;Unknown;-;-
Avenida Los Higos;Los Higos;Los;Higos;0;Unknown;-;-
Calle Las Fresas;Las Fresas;Las;Fresas;0;Unknown;-;-
Avenida Almendras;Almendras;Almendras;;0;Unknown;-;-
Calle 129;129;129;;0;Unknown;-;-
Paseo del Bosque;Bosque;Bosque;;0;Unknown;-;-
Calle 103;103;103;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Calle 141;141;141;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Calle 149A;149A;149A;;0;Unknown;-;-
Paseo del Bosque;Bosque;Bosque;;0;Unknown;-;-
Avenida Víctor Méndez;Víctor Méndez;Víctor;Méndez;-2;Male;-;-
Calle 141A;141A;141A;;0;Unknown;-;-
Avenida 71A;71A;71A;;0;Unknown;-;-
Calle La Piedra;La Piedra;La;Piedra;0;Unknown;-;-
Calle 171;171;171;;0;Unknown;-;-
