calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Avenida Víctor Méndez;Víctor Méndez;Víctor;Méndez;-2;Male;-;-
Calle la Isla;la Isla;la;Isla;2;Female;-;-;https://es.wikipedia.org/wiki/Ladislava_Bakanic
Calle Juan XXIII;Juan XXIII;Juan;XXIII;-2;Male;-;-
Calle Nazareno;Nazareno;Nazareno;;-2;Male;-;-
Avenida Ricardo Orfila;Ricardo Orfila;Ricardo;Orfila;-2;Male;-;-
Calzada Gastón Michelli;Gastón Michelli;Gastón;Michelli;-2;Male;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Rodney Herrera;Rodney Herrera;Rodney;Herrera;-2;Male;-;-
Calle La Isla;La Isla;La;Isla;2;Female;-;-;https://es.wikipedia.org/wiki/Ladislava_Bakanic
Paseo de la Segunda República;Segunda República;Segunda;República;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Monseñor Víctor M. Sanabria Martínez;Monseñor Víctor M. Sanabria Martínez;Monseñor;Víctor;-2;Male;-;-
Calle Edgar Ardón;Edgar Ardón;Edgar;Ardón;-2;Male;-;-
Calle Estéfana;Estéfana;Estéfana;;2;Female;-;-;https://es.wikipedia.org/wiki/Est%C3%A9fani_Esp%C3%ADn
Autopista Braulio Carrillo;pista Braulio Carrillo;pista;Braulio;-2;Male;-;-
Calle Damiana;Damiana;Damiana;;2;Female;-;-;https://es.wikipedia.org/wiki/Damiana_Eugenio
Calle Carmen;Carmen;Carmen;;2;Female;-;-;https://es.wikipedia.org/wiki/Carmen_Miranda
Calle Julio Fonseca Gutiérrez;Julio Fonseca Gutiérrez;Julio;Fonseca;-2;Male;-;-
