calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-;https://es.wikipedia.org/wiki/Coraz%C3%B3n_Aquino
Calle San Luis;San Luis;San;Luis;-2;Male;-;-;
Calle Esteban;Esteban;Esteban;;-2;Male;-;-;
Calle Cayetano;Cayetano;Cayetano;;-2;Male;-;-;
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-;
Calle San José;San José;San;José;-2;Male;-;-;
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-;
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-;
Calle Emérita Araya;Emérita Araya;Emérita;Araya;2;Female;-;-;https://es.wikipedia.org/wiki/Amrita_Arora
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-;
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-;
Avenida León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-;
Calle Lucas Fernández;Lucas Fernández;Lucas;Fernández;-2;Male;-;-;
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-;
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-;
Calle La Inmaculada;La Inmaculada;La;Inmaculada;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Inmaculada_de_Borb%C3%B3n-Dos_Sicilias
Calle Santa Lucia;Santa Lucia;Santa;Lucia;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Lucia_Araujo
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-;
Calle San Juan;San Juan;San;Juan;-2;Male;-;-;
