Calle Cajón;Cajón;Cajón;;0;Unknown;-;-
Calle Cajón;Cajón;Cajón;;0;Unknown;-;-
Calle Parrita;Parrita;Parrita;;0;Unknown;-;-
Calle El Chigüite;El Chigüite;El;Chigüite;0;Unknown;-;-
Calle El Chigüite;El Chigüite;El;Chigüite;0;Unknown;-;-
Calle El Chigüite;El Chigüite;El;Chigüite;0;Unknown;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle Los Ángeles;Los Ángeles;Los;Ángeles;2;Female;-;-
Calle Los Ángeles;Los Ángeles;Los;Ángeles;2;Female;-;-
Calle Los Ángeles;Los Ángeles;Los;Ángeles;2;Female;-;-
Vía 711;711;711;;0;Unknown;-;-
Calle Salguero;Salguero;Salguero;;0;Unknown;-;-
Calle Pirro;Pirro;Pirro;;0;Unknown;-;-
Calle Barrantes;Barrantes;Barrantes;;0;Unknown;-;-
Calle Murillo;Murillo;Murillo;;0;Unknown;-;-
Calle Vega;Vega;Vega;;2;Female;-;-
Calle Copalchí;Copalchí;Copalchí;;0;Unknown;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle Peralta;Peralta;Peralta;;0;Unknown;-;-
Vía 711;711;711;;0;Unknown;-;-
Vía 711;711;711;;0;Unknown;-;-
Vía 711;711;711;;0;Unknown;-;-
Calle Salguero;Salguero;Salguero;;0;Unknown;-;-
Calle Salguero;Salguero;Salguero;;0;Unknown;-;-
Calle Molina;Molina;Molina;;0;Unknown;-;-
Calle Parrita;Parrita;Parrita;;0;Unknown;-;-
Calle Parrita;Parrita;Parrita;;0;Unknown;-;-
Calle San Luis;San Luis;San;Luis;-2;Male;-;-
Calle Esteban;Esteban;Esteban;;-2;Male;-;-
Calle Cayetano;Cayetano;Cayetano;;-2;Male;-;-
Calle San Luis;San Luis;San;Luis;-2;Male;-;-
Calle Pirro;Pirro;Pirro;;0;Unknown;-;-
Calle Los Ángeles;Los Ángeles;Los;Ángeles;2;Female;-;-
Calle Milagro;Milagro;Milagro;;2;Female;-;-
Calle Vigía;Vigía;Vigía;;0;Unknown;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-
Calle Carbonal;Carbonal;Carbonal;;0;Unknown;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle Cajón;Cajón;Cajón;;0;Unknown;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Vía 711;711;711;;0;Unknown;-;-
Calle Bosque del Niño;Bosque Niño;Bosque;Niño;2;Female;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle Punta Caña;Punta Caña;Punta;Caña;0;Unknown;-;-
Calle Quesada;Quesada;Quesada;;0;Unknown;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Corazón de Jesús;Corazón Jesús;Corazón;Jesús;2;Female;-;-
Calle Carbonal;Carbonal;Carbonal;;0;Unknown;-;-
Calle Rosales;Rosales;Rosales;;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Calle Rodriguez;Rodriguez;Rodriguez;;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle El Achiote;El Achiote;El;Achiote;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Calle Emérita Araya;Emérita Araya;Emérita;Araya;2;Female;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-
Calle El Avispero;El Avispero;El;Avispero;0;Unknown;-;-
Vía 120;120;120;;0;Unknown;-;-
Vía 120;120;120;;0;Unknown;-;-
Vía 120;120;120;;0;Unknown;-;-
Vía 120;120;120;;0;Unknown;-;-
Calle Quizarrasal;Quizarrasal;Quizarrasal;;0;Unknown;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-
Calle Quizarrasal;Quizarrasal;Quizarrasal;;0;Unknown;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Vía 107;107;107;;0;Unknown;-;-
Calle Lelio Rodríguez;Lelio Rodríguez;Lelio;Rodríguez;0;Unknown;-;-
Calle Lelio Rodríguez;Lelio Rodríguez;Lelio;Rodríguez;0;Unknown;-;-
Calle Parrita;Parrita;Parrita;;0;Unknown;-;-
Calle El Avispero;El Avispero;El;Avispero;0;Unknown;-;-
Calle Emérita Araya;Emérita Araya;Emérita;Araya;2;Female;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle Monte;Monte;Monte;;2;Female;-;-
Calle Pirro;Pirro;Pirro;;0;Unknown;-;-
Calle Monte;Monte;Monte;;2;Female;-;-
Calle Parrita;Parrita;Parrita;;0;Unknown;-;-
Vía 711;711;711;;0;Unknown;-;-
Vía 711;711;711;;0;Unknown;-;-
Calle El Avispero;El Avispero;El;Avispero;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Calle Lomas;Lomas;Lomas;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle Lucas Fernández;Lucas Fernández;Lucas;Fernández;-2;Male;-;-
Calle 12A;12A;12A;;0;Unknown;-;-
Calle 10A;10A;10A;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Calle Lucas Fernández;Lucas Fernández;Lucas;Fernández;-2;Male;-;-
Avenida 5;5;5;;0;Unknown;-;-
Calle Los Ángeles;Los Ángeles;Los;Ángeles;2;Female;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Calle Cementerio;Cementerio;Cementerio;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Transversal 0;Transversal 0;Transversal;0;0;Unknown;-;-
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-
Calle 10;10;10;;0;Unknown;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Vía 716;716;716;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Calle 12;12;12;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Vía 716;716;716;;0;Unknown;-;-
Calle Laureles;Laureles;Laureles;;0;Unknown;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Calle Rosales;Rosales;Rosales;;0;Unknown;-;-
Calle La Cedeña;La Cedeña;La;Cedeña;0;Unknown;-;-
Calle La Arena;La Arena;La;Arena;2;Female;-;-
Calle 4A;4A;4A;;0;Unknown;-;-
Calle Pirro;Pirro;Pirro;;0;Unknown;-;-
Calle La Inmaculada;La Inmaculada;La;Inmaculada;2;Female;-;-
Calle Escuela;Escuela;Escuela;;0;Unknown;-;-
Calle Tura;Tura;Tura;;2;Female;-;-
Calle Los Nances;Los Nances;Los;Nances;0;Unknown;-;-
Avenida El Ingenio;El Ingenio;El;Ingenio;0;Unknown;-;-
Calle El Trapiche;El Trapiche;El;Trapiche;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Calle Lucas Fernández;Lucas Fernández;Lucas;Fernández;-2;Male;-;-
Avenida 14;14;14;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle 4A;4A;4A;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle Valerio;Valerio;Valerio;;-2;Male;-;-
Vía 118;118;118;;0;Unknown;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle Corinto;Corinto;Corinto;;0;Unknown;-;-
Calle La Arena;La Arena;La;Arena;2;Female;-;-
Vía 107;107;107;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Vía 107;107;107;;0;Unknown;-;-
Avenida León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle 0A;0A;0A;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Calle 16;16;16;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Transversal 0;Transversal 0;Transversal;0;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Calle 9;9;9;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 1A;1A;1A;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Transversal 0;Transversal 0;Transversal;0;0;Unknown;-;-
Vía 711;711;711;;0;Unknown;-;-
Calle 5A;5A;5A;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 3A;3A;3A;;0;Unknown;-;-
Calle 2A;2A;2A;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle 6A;6A;6A;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-
Avenida León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-
Calle Lucas Fernández;Lucas Fernández;Lucas;Fernández;-2;Male;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Avenida León Cortés Castro;León Cortés Castro;León;Cortés;-2;Male;-;-
Calle 8;8;8;;0;Unknown;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Avenida 9;9;9;;0;Unknown;-;-
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-
Calle Raiceros;Raiceros;Raiceros;;0;Unknown;-;-
Calle Pirro;Pirro;Pirro;;0;Unknown;-;-
Avenida Ismael Valerio;Ismael Valerio;Ismael;Valerio;-2;Male;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle La Viga;La Viga;La;Viga;0;Unknown;-;-
Calle Corinto;Corinto;Corinto;;0;Unknown;-;-
Calle Corinto;Corinto;Corinto;;0;Unknown;-;-
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-
Calle Guayabal;Guayabal;Guayabal;;0;Unknown;-;-
Calle Raiceros;Raiceros;Raiceros;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle 18;18;18;;0;Unknown;-;-
Calle Astorga;Astorga;Astorga;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Calle Pirro;Pirro;Pirro;;0;Unknown;-;-
Calle Muro;Muro;Muro;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Calle 4B;4B;4B;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Calle 16;16;16;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Calle 18;18;18;;0;Unknown;-;-
Calle Kooper;Kooper;Kooper;;0;Unknown;-;-
Calle Coyotera;Coyotera;Coyotera;;0;Unknown;-;-
Calle Bajo Reyner;Bajo Reyner;Bajo;Reyner;0;Unknown;-;-
Calle 9;9;9;;0;Unknown;-;-
Calle 9A;9A;9A;;0;Unknown;-;-
Calle La Cedeña;La Cedeña;La;Cedeña;0;Unknown;-;-
Calle Veroliz;Veroliz;Veroliz;;0;Unknown;-;-
Calle Puerto Escondido;Calle  Escondido;Calle;;0;Unknown;-;-
Barrio Sevilla;Barrio Sevilla;Barrio;Sevilla;0;Unknown;-;-
Calle 2A;2A;2A;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 14;14;14;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 6A;6A;6A;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Calle Salguero;Salguero;Salguero;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle Bajo Reyner;Bajo Reyner;Bajo;Reyner;0;Unknown;-;-
Calle Bajo Reyner;Bajo Reyner;Bajo;Reyner;0;Unknown;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle Molina;Molina;Molina;;0;Unknown;-;-
Calle Juan Vega;Juan Vega;Juan;Vega;-2;Male;-;-
Calle El Botellero;El Botellero;El;Botellero;0;Unknown;-;-
Calle Fonseca;Fonseca;Fonseca;;0;Unknown;-;-
Calle Rojas;Rojas;Rojas;;0;Unknown;-;-
Calle Los Helechos;Los Helechos;Los;Helechos;0;Unknown;-;-
Calle La Inmaculada;La Inmaculada;La;Inmaculada;2;Female;-;-
Calle Universidad;Universidad;Universidad;;0;Unknown;-;-
Calle La Inmaculada;La Inmaculada;La;Inmaculada;2;Female;-;-
Calle Zafra;Zafra;Zafra;;0;Unknown;-;-
Calle Veroliz;Veroliz;Veroliz;;0;Unknown;-;-
Calle Arias;Arias;Arias;;0;Unknown;-;-
Calle La Amistad;La Amistad;La;Amistad;0;Unknown;-;-
Calle Vigía;Vigía;Vigía;;0;Unknown;-;-
Calle Brenes;Brenes;Brenes;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Calle Raiceros;Raiceros;Raiceros;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Radial Arnoldo Kopper Vega;Radial Arnoldo Kopper Vega;Radial;Arnoldo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Ruta MTB por Cañales;Ruta MTB por Cañales;Ruta;MTB;2;Female;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle La Cedeña;La Cedeña;La;Cedeña;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Vía 118;118;118;;0;Unknown;-;-
Vía 717;717;717;;0;Unknown;-;-
Calle San José;San José;San;José;-2;Male;-;-
Calle Zamora;Zamora;Zamora;;0;Unknown;-;-
Calle Flores;Flores;Flores;;2;Female;-;-
Calle Guayabal;Guayabal;Guayabal;;0;Unknown;-;-
Calle La Arena;La Arena;La;Arena;2;Female;-;-
Calle Loma;Loma;Loma;;0;Unknown;-;-
Calle Cangrejos;Cangrejos;Cangrejos;;0;Unknown;-;-
Calle Ojo de Agua;Ojo Agua;Ojo;Agua;0;Unknown;-;-
Calle Santa Lucia;Santa Lucia;Santa;Lucia;2;Female;-;-
Calle Ugalde;Ugalde;Ugalde;;0;Unknown;-;-
Calle Guayabal;Guayabal;Guayabal;;0;Unknown;-;-
Calle Punta Caña;Punta Caña;Punta;Caña;0;Unknown;-;-
