calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-;
Calle Toño Mora;Toño Mora;Toño;Mora;-2;Male;-;-;
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;-;-;
Avenida Domingo F. Sarmiento;Domingo F. Sarmiento;Domingo;F.;-2;Male;-;-;
Avenida Amando Céspedes Marín;Amando Céspedes Marín;Amando;Céspedes;-2;Male;-;-;
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;-;-;
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores;Tranquilino;Sáenz;-2;Male;-;-;
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;-;-;
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;-;-;
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;-;-;
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;-;-;
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;-;-;
Calle Manuel Benavides;Manuel Benavides;Manuel;Benavides;-2;Male;-;-;
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-;
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;-;-;https://es.wikipedia.org/wiki/Cecilia_de_Roma
Puente Francisco J. Orlich;Francisco J. Orlich;Francisco;J.;-2;Male;-;-;
Puente Yolanda Oreamuno;Yolanda Oreamuno;Yolanda;Oreamuno;2;Female;-;-;https://es.wikipedia.org/wiki/Yolanda_Oreamuno
Calle Santa Catalina;Santa Catalina;Santa;Catalina;2;Female;-;-;https://es.wikipedia.org/wiki/Catalina_de_Siena
Avenida El Cristóbal;El Cristóbal;El;Cristóbal;-2;Male;-;-;
Calle Omar Dengo Guerrero;Omar Dengo Guerrero;Omar;Dengo;-2;Male;-;-;
Calle Julián Volio;Julián Volio;Julián;Volio;-2;Male;-;-;
Avenida Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-;https://es.wikipedia.org/wiki/Helena_de_Constantinopla
Calle Napoleón Quesada;Napoleón Quesada;Napoleón;Quesada;-2;Male;-;-;
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Marta_de_Betania
Calle Abelina;Abelina;Abelina;;2;Female;-;-;
Calle Don Tito;Don Tito;Don;Tito;-2;Male;-;-;
Avenida Victoria;Victoria;Victoria;;2;Female;-;-;
Alameda Manuel María Gutiérrez;Alameda Manuel María Gutiérrez;Alameda;Manuel;-2;Male;-;-;
Alameda Wenceslao Argüello;Alameda Wenceslao Argüello;Alameda;Wenceslao;-2;Male;-;-;
Avenida Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male;-;-;
Avenida Rafael Moya M.;Rafael Moya M.;Rafael;Moya;-2;Male;-;-;
