Calle Las Tres Marías;Las Tres Marías
Sendero Laguna de Barva;Laguna Barva
Calle San Rafael;San Rafael
Calle Barboza;Barboza
Calle La Legua;La Legua
Calle La Legua;La Legua
Calle La Legua;La Legua
Calle La Legua;La Legua
Calle Los Freseros;Los Freseros
Calle Barboza;Barboza
Calle Azufre;Azufre
Calle San Rafael;San Rafael
Calle Los Muertos;Los Muertos
Calle La Legua;La Legua
Calle Toño Mora;Toño Mora
Calle La Legua;La Legua
Calle La Legua;La Legua
Sendero Copey;Copey
Calle Real;Real
Avenida 11;11
Avenida Joaquín González;Joaquín González
Calle 13;13
Paseo de la Cultura;Cultura
Avenida Domingo F. Sarmiento;Domingo F. Sarmiento
Avenida Amando Céspedes Marín;Amando Céspedes Marín
Avenida Luis R. Flores;Luis R. Flores
Avenida Obispo Morel;Obispo Morel
Vía 3;3
Calle 7;7
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores
Calle Rubén Darío;Rubén Darío
Calle Franklin D. Roosevelt;Franklin D. Roosevelt
Calle 16;16
Calle Monseñor Chavarría Rojas;Monseñor Chavarría Rojas
Calle Manuel Benavides R.;Manuel Benavides R.
Avenida 12;12
Calle 10;10
Avenida 3;3
Avenida 7;7
Avenida 13;13
Calle 11;11
Avenida 5;5
Avenida 7;7
Calle 13A;13A
Vía 3;3
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña
Avenida 14;14
Calle 6;6
Avenida William H. Taft;William H. Taft
Avenida William H. Taft;William H. Taft
Avenida 5;5
Calle 14;14
Calle 12A;12A
Calle 14A;14A
Calle Las Cloacas;Las Cloacas
Avenida La Fosforera;La Fosforera
Avenida 18;18
Calle Terciaria;Terciaria
Calle Externa;Externa
Calle Yorkín;Yorkín
Avenida 13;13
Vía 106;106
Calle Castella;Castella
Vía 111;111
Calle La Aurora;La Aurora
Calle 84;84
Calle 2;2
Vía 111;111
Calle Manuel Benavides;Manuel Benavides
Calle La Deportiva;La Deportiva
Calle La Simona;La Simona
Calle Castella;Castella
Vía 1;1
Calle Saturno;Saturno
Avenida Mayorga;Mayorga
Avenida Los Pinares;Los Pinares
Calle La Balsa;La Balsa
Calle Júpiter;Júpiter
Calle Primera;Primera
Calle Chucos;Chucos
Calle Arco;Arco
Calle 1;1
Calle Torres;Torres
Avenida 2;2
Calle Los Itabos;Los Itabos
Avenida 2;2
Calle Cero;Cero
Calle San Francisco;San Francisco
Avenida Segunda;Segunda
Calle Tercera;Tercera
Avenida 1;1
Calle 2;2
Calle 18A;18A
Calle 26;26
Calle Franklin D. Roosevelt;Franklin D. Roosevelt
Avenida 13;13
Avenida 21;21
Vía 111;111
Vía 111;111
Vía 171;171
Calle La Cuesta;La Cuesta
Vía 171;171
Vía 111;111
Avenida del Ferrocarril;Ferrocarril
Calle La Granja;La Granja
Calle Alcalá;Alcalá
Calle La Carpintera;La Carpintera
Calle 3;3
Calle 3;3
Avenida 3;3
Avenida 1;1
Avenida 2;2
Calle 2;2
Avenida 1;1
Calle Central;Central
Avenida del Cerro;Cerro
Avenida 1;1
Calle Santa Cecilia;Santa Cecilia
Avenida Principal;Principal
Calle Principal;Principal
Calle Primera;Primera
Avenida Segunda;Segunda
Avenida Primera;Primera
Calle Tercera;Tercera
Calle 1;1
Calle 4;4
Avenida 1;1
Avenida 2;2
Calle 2;2
Calle Primera;Primera
Avenida Primera;Primera
Boulevard de Los Conquistadores;Los Conquistadores
Boulevard de Los Conquistadores;Los Conquistadores
Boulevard de Los Conquistadores;Los Conquistadores
Boulevard de Los Conquistadores;Los Conquistadores
Boulevard de Los Conquistadores;Los Conquistadores
Boulevard de Los Conquistadores;Los Conquistadores
Boulevard Real de Santamaría;Boulevard  Santamaría
Boulevard Real de Santamaría;Boulevard  Santamaría
Calle 1 Norte;1 Norte
Calle 2 Norte;2 Norte
Calle 4 Sur;4 Sur
Avenida 2;2
Calle Jardín;Jardín
Calle 6;6
Calle 6 Sur;6 Sur
Avenida 3 Oeste;3 Oeste
Avenida 4 Oeste;4 Oeste
Avenida 5 Oeste;5 Oeste
Avenida 3 Este;3 Este
Avenida 4 Este;4 Este
Avenida 5 Este;5 Este
Calle 3;3
Calle 1;1
Calle 2;2
Avenida Las Huertas;Las Huertas
Calle Los Manzanos;Los Manzanos
Calle 1;1
Calle 3;3
Avenida 1;1
Calle I;I
Avenida 2;2
Calle E;E
Calle U;U
Calle R;R
Calle Q;Q
Calle P;P
Calle L;L
Calle D;D
Calle C;C
Calle E1;E1
Calle Norte;Norte
Avenida Primera;Primera
Calle Nísperos;Nísperos
Puente Francisco J. Orlich;Francisco J. Orlich
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña
Avenida Domingo F. Sarmiento;Domingo F. Sarmiento
Calle 7;7
Diagonal 13;Diagonal 13
Calle 54C;54C
Calle La Rusia;La Rusia
Calle 30;30
Calle 16;16
Boulevard de Los Conquistadores;Los Conquistadores
Calle Castella;Castella
Calle Castella;Castella
Calle Castella;Castella
Boulevard Real de Santamaría;Boulevard  Santamaría
Puente Yolanda Oreamuno;Yolanda Oreamuno
Ruta Nacional 3;Ruta Nacional 3
Calle 38;38
Calle 0;0
Avenida 1;1
Avenida 2;2
Avenida 4;4
Avenida 3;3
Avenida 5;5
Avenida 7;7
Avenida 8;8
Avenida 9;9
Avenida 19;19
Calle 28;28
Calle 26A;26A
Calle 28A;28A
Calle 20A;20A
Calle 32;32
Calle 34;34
Avenida 11;11
Calle 26;26
Avenida 1;1
Avenida Central;Central
Calle 32;32
Transversal 28;Transversal 28
Avenida 19B;19B
Calle 22;22
Avenida 15A;15A
Avenida 15;15
Avenida 13;13
Calle 26A;26A
Avenida 23;23
Avenida 31;31
Avenida 23;23
Calle 16B;16B
Calle 18;18
Calle 14;14
Calle 16A;16A
Avenida 13;13
Calle 12;12
Avenida 35;35
Calle 12;12
Calle 16;16
Avenida Segunda;Segunda
Avenida Primera;Primera
Avenida Tercera;Tercera
Avenida Los Malinches;Los Malinches
Avenida Rodríguez;Rodríguez
Calle 2;2
Calle 1;1
Avenida Los Álamos;Los Álamos
Calle Los Robles;Los Robles
Calle Santa Catalina;Santa Catalina
Avenida Cuarta;Cuarta
Avenida Cedros;Cedros
Avenida Guachipelín;Guachipelín
Avenida Cedros;Cedros
Calle Segunda;Segunda
Avenida Cuarta;Cuarta
Avenida Tercera;Tercera
Calle Tercera;Tercera
Calle Cuarta;Cuarta
Avenida Quinta;Quinta
Calle Venus;Venus
Alameda 3;Alameda 3
Vía 3;3
Vía 3;3
Avenida Segunda;Segunda
Calle 30;30
Autopista General Cañas;pista General Cañas
Avenida 23;23
Avenida 21;21
Avenida 15;15
Calle 7;7
Calle Guararí;Guararí
Calle Pules;Pules
Calle La Inmaculada;La Inmaculada
Alameda 21;Alameda 21
Calle Principal;Principal
Calle 20;20
Avenida Primera;Primera
Avenida 1;1
Calle Pepsi;Pepsi
Alameda J;Alameda J
Avenida 3;3
Avenida El Cenízaro;El Cenízaro
Avenida El Sura;El Sura
Avenida El Cristóbal;El Cristóbal
Avenida El Espavel;El Espavel
Calle 11;11
Calle 44;44
Avenida 2C;2C
Calle 16;16
Calle 8;8
Acceso 2;Acceso 2
Avenida 3;3
Calle Franklin D. Roosevelt;Franklin D. Roosevelt
Calle 14;14
Calle Bajo Virilla;Bajo Virilla
Calle Bajo Virilla;Bajo Virilla
Calle 8;8
Calle 1;1
Avenida 1;1
Calle 3;3
Calle 5;5
Calle 7;7
Calle 2;2
Calle 4;4
Calle 6;6
Calle 22;22
Calle 20A;20A
Calle 24A;24A
Calle 24;24
Calle 22A;22A
Calle 20;20
Acceso 3;Acceso 3
Acceso 5;Acceso 5
Avenida 31A;31A
Avenida 35;35
Acceso 1;Acceso 1
Avenida 1;1
Calle 16;16
Calle 8A;8A
Avenida 25;25
Avenida Las Huertas;Las Huertas
Calle 6;6
Calle 12B;12B
Avenida 14;14
Avenida 20;20
Avenida 0;0
Calle Real;Real
Boulevard Norte;Norte
Boulevard Central;Boulevard
Boulevard Central;Boulevard
Calle 26;26
Calle 10B;10B
Calle 10A;10A
Calle 12A;12A
Calle 48;48
Alameda 3;Alameda 3
Avenida 30;30
Calle 1;1
Calle O;O
Calle Coca Cola;Coca Cola
Calle Panchito;Panchito
Avenida La Guaria;La Guaria
Calle Veterinaria;Veterinaria
Calle 1;1
Avenida 5;5
Diagonal 4;Diagonal 4
Vía 1;1
Avenida 21;21
Avenida 21;21
Avenida 1;1
Avenida 21A;21A
Avenida 21B;21B
Avenida 33;33
Avenida 21C;21C
Vía 3;3
Avenida Guararí;Guararí
Vía 3;3
Calle 22;22
Calle Castella;Castella
Avenida 1;1
Avenida 15A;15A
Calle 1;1
Alameda D;Alameda D
Alameda 6;Alameda 6
Calle Vuelta La Piedra;Vuelta La Piedra
Avenida 29;29
Calle 24;24
Calle 22A;22A
Avenida 19;19
Avenida Los Naranjos;Los Naranjos
Vía 106;106
Calle 1;1
Avenida 1;1
Calle 56;56
Avenida 3;3
Calle Padre Royo;Padre Royo
Calle 2;2
Calle 1;1
Avenida 16;16
Avenida 1;1
Avenida del Ferrocarril;Ferrocarril
Avenida 12;12
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores
Avenida 10A;10A
Avenida Amando Céspedes Marín;Amando Céspedes Marín
Calle Omar Dengo Guerrero;Omar Dengo Guerrero
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores
Calle Julián Volio;Julián Volio
Avenida 1;1
Avenida 30;30
Avenida 2;2
Avenida 1;1
Avenida Santa Elena;Santa Elena
Calle Napoleón Quesada;Napoleón Quesada
Calle 16;16
Alameda G;Alameda G
Calle Guacimal;Guacimal
Avenida 16;16
Calle Las Cloacas;Las Cloacas
Calle 2;2
Avenida El Sol;El Sol
Avenida 2;2
Calle Primera;Primera
Calle San Antonio;San Antonio
Calle 4;4
Calle El Laurel;El Laurel
Avenida Cero;Cero
Avenida Tercera;Tercera
Calle 1;1
Avenida 1;1
Calle Pepsi;Pepsi
Calle Segunda;Segunda
Calle 2;2
Calle Santa Marta;Santa Marta
Avenida Tercera;Tercera
Avenida Primera;Primera
Calle Central;Central
Avenida Primera;Primera
Calle Primera;Primera
Residencial Casa Blanca;Residencial  Blanca
Calle 2;2
Calle 76;76
Avenida 38;38
Avenida 36;36
Calle 50;50
Calle 46;46
Avenida 7A;7A
Calle 40;40
Diagonal 7;Diagonal 7
Avenida 3;3
Calle 52;52
Diagonal 7;Diagonal 7
Diagonal 7;Diagonal 7
