Calle Las Tres Marías;Las Tres Marías;Las;Tres;0;Unknown;-;-
Sendero Laguna de Barva;Laguna Barva;Laguna;Barva;0;Unknown;-;-
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-
Calle Barboza;Barboza;Barboza;;0;Unknown;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle Los Freseros;Los Freseros;Los;Freseros;0;Unknown;-;-
Calle Barboza;Barboza;Barboza;;0;Unknown;-;-
Calle Azufre;Azufre;Azufre;;0;Unknown;-;-
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-
Calle Los Muertos;Los Muertos;Los;Muertos;0;Unknown;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle Toño Mora;Toño Mora;Toño;Mora;2;Female;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Calle La Legua;La Legua;La;Legua;0;Unknown;-;-
Sendero Copey;Copey;Copey;;0;Unknown;-;-
Calle Real;Real;Real;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;-;-
Calle 13;13;13;;0;Unknown;-;-
Paseo de la Cultura;Cultura;Cultura;;0;Unknown;-;-
Avenida Domingo F. Sarmiento;Domingo F. Sarmiento;Domingo;F.;-2;Male;-;-
Avenida Amando Céspedes Marín;Amando Céspedes Marín;Amando;Céspedes;-2;Male;-;-
Avenida Luis R. Flores;Luis R. Flores;Luis;R.;-2;Male;-;-
Avenida Obispo Morel;Obispo Morel;Obispo;Morel;0;Unknown;-;-
Vía 3;3;3;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Calle Tranquilino Sáenz Flores;Tranquilino Sáenz Flores;Tranquilino;Sáenz;2;Female;-;-
Calle Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;-;-
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;-;-
Calle 16;16;16;;0;Unknown;-;-
Calle Monseñor Chavarría Rojas;Monseñor Chavarría Rojas;Monseñor;Chavarría;0;Unknown;-;-
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;-;-
Avenida 12;12;12;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Calle 11;11;11;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 13A;13A;13A;;0;Unknown;-;-
Vía 3;3;3;;0;Unknown;-;-
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;-;-
Avenida 14;14;14;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;-;-
Avenida William H. Taft;William H. Taft;William;H.;-2;Male;-;-
Avenida 5;5;5;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Calle 12A;12A;12A;;0;Unknown;-;-
Calle 14A;14A;14A;;0;Unknown;-;-
Calle Las Cloacas;Las Cloacas;Las;Cloacas;0;Unknown;-;-
Avenida La Fosforera;La Fosforera;La;Fosforera;0;Unknown;-;-
Avenida 18;18;18;;0;Unknown;-;-
Calle Terciaria;Terciaria;Terciaria;;0;Unknown;-;-
Calle Externa;Externa;Externa;;0;Unknown;-;-
Calle Yorkín;Yorkín;Yorkín;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Vía 106;106;106;;0;Unknown;-;-
Calle Castella;Castella;Castella;;0;Unknown;-;-
Vía 111;111;111;;0;Unknown;-;-
Calle La Aurora;La Aurora;La;Aurora;2;Female;-;-
Calle 84;84;84;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Vía 111;111;111;;0;Unknown;-;-
Calle Manuel Benavides;Manuel Benavides;Manuel;Benavides;-2;Male;-;-
Calle La Deportiva;La Deportiva;La;Deportiva;0;Unknown;-;-
Calle La Simona;La Simona;La;Simona;2;Female;-;-
Calle Castella;Castella;Castella;;0;Unknown;-;-
Vía 1;1;1;;0;Unknown;-;-
Calle Saturno;Saturno;Saturno;;-2;Male;-;-
Avenida Mayorga;Mayorga;Mayorga;;0;Unknown;-;-
Avenida Los Pinares;Los Pinares;Los;Pinares;0;Unknown;-;-
Calle La Balsa;La Balsa;La;Balsa;0;Unknown;-;-
Calle Júpiter;Júpiter;Júpiter;;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Calle Chucos;Chucos;Chucos;;0;Unknown;-;-
Calle Arco;Arco;Arco;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle Torres;Torres;Torres;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Los Itabos;Los Itabos;Los;Itabos;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Cero;Cero;Cero;;0;Unknown;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Avenida Segunda;Segunda;Segunda;;2;Female;-;-
Calle Tercera;Tercera;Tercera;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle 18A;18A;18A;;0;Unknown;-;-
Calle 26;26;26;;0;Unknown;-;-
Calle Franklin D. Roosevelt;Franklin D. Roosevelt;Franklin;D.;-2;Male;-;-
Avenida 13;13;13;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Vía 111;111;111;;0;Unknown;-;-
Vía 111;111;111;;0;Unknown;-;-
Vía 171;171;171;;0;Unknown;-;-
Calle La Cuesta;La Cuesta;La;Cuesta;0;Unknown;-;-
Vía 171;171;171;;0;Unknown;-;-
Vía 111;111;111;;0;Unknown;-;-
Avenida del Ferrocarril;Ferrocarril;Ferrocarril;;0;Unknown;-;-
Calle La Granja;La Granja;La;Granja;0;Unknown;-;-
Calle Alcalá;Alcalá;Alcalá;;0;Unknown;-;-
Calle La Carpintera;La Carpintera;La;Carpintera;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida del Cerro;Cerro;Cerro;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle Santa Cecilia;Santa Cecilia;Santa;Cecilia;2;Female;-;-
Avenida Principal;Principal;Principal;;0;Unknown;-;-
Calle Principal;Principal;Principal;;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Avenida Segunda;Segunda;Segunda;;2;Female;-;-
Avenida Primera;Primera;Primera;;0;Unknown;-;-
Calle Tercera;Tercera;Tercera;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Primera;Primera;Primera;;0;Unknown;-;-
Avenida Primera;Primera;Primera;;0;Unknown;-;-
Boulevard de Los Conquistadores;Los Conquistadores;Los;Conquistadores;0;Unknown;-;-
Boulevard de Los Conquistadores;Los Conquistadores;Los;Conquistadores;0;Unknown;-;-
Boulevard de Los Conquistadores;Los Conquistadores;Los;Conquistadores;0;Unknown;-;-
Boulevard de Los Conquistadores;Los Conquistadores;Los;Conquistadores;0;Unknown;-;-
Boulevard de Los Conquistadores;Los Conquistadores;Los;Conquistadores;0;Unknown;-;-
Boulevard de Los Conquistadores;Los Conquistadores;Los;Conquistadores;0;Unknown;-;-
