Vía 306;306;306;;0;Unknown;-;-
Calle Bonilla;Bonilla;Bonilla;;0;Unknown;-;-
Acceso 6;Acceso 6;Acceso;6;0;Unknown;-;-
Acceso 8;Acceso 8;Acceso;8;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 9;Acceso 9;Acceso;9;0;Unknown;-;-
Acceso 10;Acceso 10;Acceso;10;0;Unknown;-;-
Avenida 44;44;44;;0;Unknown;-;-
Avenida Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Avenida Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Calle Nueve;Nueve;Nueve;;0;Unknown;-;-
Calle Seis;Seis;Seis;;0;Unknown;-;-
Calle Cero;Cero;Cero;;0;Unknown;-;-
Avenida Catorce;Catorce;Catorce;;0;Unknown;-;-
Calle Cinco;Cinco;Cinco;;0;Unknown;-;-
Avenida Dos;Dos;Dos;;0;Unknown;-;-
Calle Doce;Doce;Doce;;0;Unknown;-;-
Boulevard Monserrat;Monserrat;Monserrat;;2;Female;-;-
Calle Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Boulevard Monserrat;Monserrat;Monserrat;;2;Female;-;-
Calle Dos;Dos;Dos;;0;Unknown;-;-
Calle Ocho;Ocho;Ocho;;0;Unknown;-;-
Calle Tres;Tres;Tres;;0;Unknown;-;-
Boulevard Monserrat;Monserrat;Monserrat;;2;Female;-;-
Calle Naranjo;Naranjo;Naranjo;;0;Unknown;-;-
Calle Pájaro Azul;Pájaro Azul;Pájaro;Azul;2;Female;-;-
Calle Naranjo;Naranjo;Naranjo;;0;Unknown;-;-
Calle Naranjo;Naranjo;Naranjo;;0;Unknown;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Avenida Los Nogales;Los Nogales;Los;Nogales;0;Unknown;-;-
Avenida Única;Única;Única;;0;Unknown;-;-
Calle Fresal;Fresal;Fresal;;0;Unknown;-;-
Calle Mansiones;Mansiones;Mansiones;;0;Unknown;-;-
Calle Linares;Linares;Linares;;0;Unknown;-;-
Avenida Los Caobos;Los Caobos;Los;Caobos;0;Unknown;-;-
Calle San José;San José;San;José;-2;Male;-;-
Acceso 2;Acceso 2;Acceso;2;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 4;Acceso 4;Acceso;4;0;Unknown;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Calle Dos;Dos;Dos;;0;Unknown;-;-
Acceso 8;Acceso 8;Acceso;8;0;Unknown;-;-
Acceso 7;Acceso 7;Acceso;7;0;Unknown;-;-
Acceso 7;Acceso 7;Acceso;7;0;Unknown;-;-
Acceso 3;Acceso 3;Acceso;3;0;Unknown;-;-
Acceso 9;Acceso 9;Acceso;9;0;Unknown;-;-
Avenida Dos;Dos;Dos;;0;Unknown;-;-
Acceso 1 ACM;Acceso 1 ACM;Acceso;1;0;Unknown;-;-
Avenida 2 SO;2 SO;2;SO;0;Unknown;-;-
Avenida 3 SO;3 SO;3;SO;0;Unknown;-;-
Vía 3B;3B;3B;;0;Unknown;-;-
Calle Rivera;Rivera;Rivera;;0;Unknown;-;-
Vía 1;1;1;;0;Unknown;-;-
Calle A;A;A;;0;Unknown;-;-
Avenida Uno;Uno;Uno;;0;Unknown;-;-
Calle Brenes;Brenes;Brenes;;0;Unknown;-;-
Avenida Diez;Diez;Diez;;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 3;Acceso 3;Acceso;3;0;Unknown;-;-
Vía 6;6;6;;0;Unknown;-;-
Vía 4;4;4;;0;Unknown;-;-
Vía 5A;5A;5A;;0;Unknown;-;-
Acceso 9;Acceso 9;Acceso;9;0;Unknown;-;-
Acceso 10;Acceso 10;Acceso;10;0;Unknown;-;-
Acceso 4;Acceso 4;Acceso;4;0;Unknown;-;-
Acceso 5;Acceso 5;Acceso;5;0;Unknown;-;-
Acceso 6;Acceso 6;Acceso;6;0;Unknown;-;-
Acceso 7;Acceso 7;Acceso;7;0;Unknown;-;-
Acceso 8;Acceso 8;Acceso;8;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Vía 202;202;202;;0;Unknown;-;-
Vía 202;202;202;;0;Unknown;-;-
Calle El Poró;El Poró;El;Poró;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Calle Siete;Siete;Siete;;0;Unknown;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Diagonal 36;Diagonal 36;Diagonal;36;0;Unknown;-;-
Acceso 1 AC;Acceso 1 AC;Acceso;1;0;Unknown;-;-
Acceso 2 AC;Acceso 2 AC;Acceso;2;0;Unknown;-;-
Acceso 2;Acceso 2;Acceso;2;0;Unknown;-;-
Acceso 2 AC;Acceso 2 AC;Acceso;2;0;Unknown;-;-
Acceso 3 AC;Acceso 3 AC;Acceso;3;0;Unknown;-;-
Calle La Cabuya;La Cabuya;La;Cabuya;0;Unknown;-;-
Calle La Cabuya;La Cabuya;La;Cabuya;0;Unknown;-;-
Calle Diez;Diez;Diez;;0;Unknown;-;-
Calle el Poró;el Poró;el;Poró;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Vía 3A;3A;3A;;0;Unknown;-;-
Acceso 5;Acceso 5;Acceso;5;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Vía 7;7;7;;0;Unknown;-;-
Avenida Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Avenida Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Avenida Boulevard;Boulevard;Boulevard;;0;Unknown;-;-
Calle Tres;Tres;Tres;;0;Unknown;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Gutiérrez;Gutiérrez;Gutiérrez;;0;Unknown;-;-
Avenida 1 NO;1 NO;1;NO;0;Unknown;-;-
Avenida 4 NO;4 NO;4;NO;0;Unknown;-;-
Calle El Bosque;El Bosque;El;Bosque;0;Unknown;-;-
Calle Alvarado;Alvarado;Alvarado;;0;Unknown;-;-
Calle Méndez;Méndez;Méndez;;0;Unknown;-;-
Calle Alvarado;Alvarado;Alvarado;;0;Unknown;-;-
Calle Díaz;Díaz;Díaz;;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Vía 221;221;221;;0;Unknown;-;-
Acceso 11;Acceso 11;Acceso;11;0;Unknown;-;-
Acceso 12;Acceso 12;Acceso;12;0;Unknown;-;-
Acceso 3;Acceso 3;Acceso;3;0;Unknown;-;-
Acceso 4;Acceso 4;Acceso;4;0;Unknown;-;-
Acceso 2;Acceso 2;Acceso;2;0;Unknown;-;-
Acceso 5;Acceso 5;Acceso;5;0;Unknown;-;-
Acceso F;Acceso F;Acceso;F;0;Unknown;-;-
Acceso E;Acceso E;Acceso;E;0;Unknown;-;-
Acceso D;Acceso D;Acceso;D;0;Unknown;-;-
Acceso B;Acceso B;Acceso;B;0;Unknown;-;-
Acceso 10;Acceso 10;Acceso;10;0;Unknown;-;-
Acceso 11;Acceso 11;Acceso;11;0;Unknown;-;-
Calle D;D;D;;0;Unknown;-;-
Acceso 2;Acceso 2;Acceso;2;0;Unknown;-;-
Acceso 5;Acceso 5;Acceso;5;0;Unknown;-;-
Acceso 4;Acceso 4;Acceso;4;0;Unknown;-;-
Acceso 3;Acceso 3;Acceso;3;0;Unknown;-;-
Acceso 1;Acceso 1;Acceso;1;0;Unknown;-;-
Acceso 1ACM;Acceso 1ACM;Acceso;1ACM;0;Unknown;-;-
Acceso 1ACM;Acceso 1ACM;Acceso;1ACM;0;Unknown;-;-
Calle Víquez;Víquez;Víquez;;0;Unknown;-;-
Calle Riberalta;Riberalta;Riberalta;;0;Unknown;-;-
Avenida Seis;Seis;Seis;;0;Unknown;-;-
Avenida Tres;Tres;Tres;;0;Unknown;-;-
Avenida Cinco;Cinco;Cinco;;0;Unknown;-;-
