calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Boulevard Monserrat;Monserrat;Monserrat;;2;Female;-;-;https://es.wikipedia.org/wiki/Monserrat_Torrent
Calle Pájaro Azul;Pájaro Azul;Pájaro;Azul;2;Female;-;-;https://es.wikipedia.org/wiki/Amparo_Alonso_Betanzos
Calle San José;San José;San;José;-2;Male;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle El Carmen;El Carmen;El;Carmen;2;Female;-;-;https://es.wikipedia.org/wiki/Jewel_Carmen
Calle Santa Eduviges;Santa Eduviges;Santa;Eduviges;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Eduviges_de_Hesse-Darmstadt
Calle San Miguel;San Miguel;San;Miguel;-2;Male;-;-
Calle San Sebastián;San Sebastián;San;Sebastián;-2;Male;-;-
Calle La Fe;La Fe;La;Fe;2;Female;-;-;https://es.wikipedia.org/wiki/Gala_Montes
Calle Azahar;Azahar;Azahar;;2;Female;-;-;https://es.wikipedia.org/wiki/Azahara_Mu%C3%B1oz
Calle Río San Juan;Calle  San Juan;Calle;;-2;Male;-;-
Calle Sánchez Cruz;Sánchez Cruz;Sánchez;Cruz;2;Female;-;-;https://es.wikipedia.org/wiki/Leticia_S%C3%A1nchez_Ruiz
Calle Santa Rosa;Santa Rosa;Santa;Rosa;2;Female;-;-;https://es.wikipedia.org/wiki/Santa_Sara_del_Mar
Avenida Océano Pacífico;Océano Pacífico;Océano;Pacífico;-2;Male;-;-
Autopista Florencio del Castillo;pista Florencio Castillo;pista;Florencio;-2;Male;-;-
Calle San Diego;San Diego;San;Diego;-2;Male;-;-
Calle Florencio del Castillo;Florencio Castillo;Florencio;Castillo;-2;Male;-;-
Avenida La Marina;La Marina;La;Marina;2;Female;-;-;https://es.wikipedia.org/wiki/Anya_Marina
Calle Villa Florida;Villa Florida;Villa;Florida;2;Female;-;-;https://es.wikipedia.org/wiki/Willa_Ford
Calle San Juan;San Juan;San;Juan;-2;Male;-;-
Calle Trinidad;Trinidad;Trinidad;;2;Female;-;-;https://es.wikipedia.org/wiki/Trinidad_Jim%C3%A9nez
Calle Florencia;Florencia;Florencia;;2;Female;-;-;https://es.wikipedia.org/wiki/Florencia_de_Saracho
Calle Inmaculada;Inmaculada;Inmaculada;;2;Female;-;-;https://es.wikipedia.org/wiki/Inmaculada_Rodr%C3%ADguez-Pi%C3%B1ero
Calle Viena;Viena;Viena;;2;Female;-;-;https://es.wikipedia.org/wiki/Viena_Ruiz
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-;https://es.wikipedia.org/wiki/Linda_Stahl
Calle Eulalia;Eulalia;Eulalia;;2;Female;-;-;https://es.wikipedia.org/wiki/Eulalia_de_Borb%C3%B3n
Avenida Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle La Palmira;La Palmira;La;Palmira;2;Female;-;-;https://es.wikipedia.org/wiki/Antonella_Palmisano
Calle San Carlos;San Carlos;San;Carlos;-2;Male;-;-
Calle Tacora-San Diego;Tacora-San Diego;Tacora-San;Diego;-2;Male;-;-
Calle Pino Azul;Pino Azul;Pino;Azul;2;Female;-;-;https://es.wikipedia.org/wiki/Aino_Aalto
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;-;-;https://es.wikipedia.org/wiki/Cara_Santa_Maria
Ruta Nacional 409;Ruta Nacional 409;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Pérez;Pérez;Pérez;;-2;Male;-;-
Calle El Progreso;El Progreso;El;Progreso;-2;Male;-;-
Calle Progreso;Progreso;Progreso;;-2;Male;-;-
Calle El Valle;El Valle;El;Valle;2;Female;-;-;https://es.wikipedia.org/wiki/Fe_del_Valle
Calle Antiguo Relleno Rio Azul;Antiguo Relleno Rio Azul;Antiguo;Relleno;-2;Male;-;-
Calle Jade;Jade;Jade;;2;Female;-;-;https://es.wikipedia.org/wiki/Jade_Marcela
Calle Rubí;Rubí;Rubí;;2;Female;-;-;https://es.wikipedia.org/wiki/Rub%C3%AD_Leza
Calle Romana;Romana;Romana;;2;Female;-;-;https://es.wikipedia.org/wiki/Romana_Labounkov%C3%A1
Calle Pila Rica;Pila Rica;Pila;Rica;2;Female;-;-;https://es.wikipedia.org/wiki/Pilar_Castro
Calle Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Ricardo Solano;Ricardo Solano;Ricardo;Solano;-2;Male;-;-
Sendero Parque Estancia Antigua;Sendero  Estancia Antigua;Sendero;;2;Female;-;-;https://es.wikipedia.org/wiki/Constancia_Mangue
