calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;-;-;https://es.wikipedia.org/wiki/Clara_de_As%C3%Ads
Calle Santo Tomás;Santo Tomás;Santo;Tomás;-2;Male;-;-;
Calle Santa María;Santa María;Santa;María;2;Female;-;-;https://es.wikipedia.org/wiki/Sina_Santa_Mar%C3%ADa
Calle Santa Inés;Santa Inés;Santa;Inés;2;Female;-;-;https://es.wikipedia.org/wiki/In%C3%A9s_de_Roma
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-;
Calle Rafael Iglesias;Rafael Iglesias;Rafael;Iglesias;-2;Male;-;-;
Avenida Francisco Mayorga Rivas;Francisco Mayorga Rivas;Francisco;Mayorga;-2;Male;-;-;
Calle San Martín de Porres y Velázquez;San Martín Porres y Velázquez;San;Martín;-2;Male;-;-;
Avenida Pbro. Fernando González Saborío;Pbro. Fernando González Saborío;Pbro.;Fernando;-2;Male;-;-;
Calle Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-;
Avenida Ricardo Jiménez Oreamuno;Ricardo Jiménez Oreamuno;Ricardo;Jiménez;-2;Male;-;-;
