calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Santa Clara;Santa Clara;Santa;Clara;2;Female;-;-;https://es.wikipedia.org/wiki/Santa_Sara_del_Mar
Calle Santo Tomás;Santo Tomás;Santo;Tomás;-2;Male;-;-
Calle Santa María;Santa María;Santa;María;2;Female;-;-;https://es.wikipedia.org/wiki/Sina_Santa_Mar%C3%ADa
Calle La Josefina;La Josefina;La;Josefina;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefina_de_Saboya
Calle Monte Blanco;Monte Blanco;Monte;Blanco;2;Female;-;-;https://es.wikipedia.org/wiki/Sonia_Blanco
Calle Santa Inés;Santa Inés;Santa;Inés;2;Female;-;-;https://es.wikipedia.org/wiki/In%C3%A9s_de_Montepulciano
Calle San Isidro;San Isidro;San;Isidro;-2;Male;-;-
Calle Marina Village;Marina Village;Marina;Village;2;Female;-;-;https://es.wikipedia.org/wiki/Marina_Villegas
Avenida Brisas del Mar;Brisas Mar;Brisas;Mar;2;Female;-;-;https://es.wikipedia.org/wiki/Marisa_Marco
Calle Noche de Luna;Noche Luna;Noche;Luna;2;Female;-;-;https://es.wikipedia.org/wiki/Concha_Linares-Becerra
Calle Blanca;Blanca;Blanca;;2;Female;-;-;https://es.wikipedia.org/wiki/Blanca_de_Castilla
Calle Marina Papagayo;Marina Papagayo;Marina;Papagayo;2;Female;-;-;https://es.wikipedia.org/wiki/Marina_Pagano
Calle Vistas de la Bahía;Vistas Bahía;Vistas;Bahía;2;Female;-;-;https://es.wikipedia.org/wiki/Flavita_Banana
Calle Rafael Iglesias;Rafael Iglesias;Rafael;Iglesias;-2;Male;-;-
Avenida 25 de Julio;25 Julio;25;Julio;-2;Male;-;-
Avenida Francisco Mayorga Rivas;Francisco Mayorga Rivas;Francisco;Mayorga;-2;Male;-;-
Calle San Martín de Porres y Velázquez;San Martín Porres y Velázquez;San;Martín;-2;Male;-;-
Avenida Pbro. Fernando González Saborío;Pbro. Fernando González Saborío;Pbro.;Fernando;-2;Male;-;-
Calle Cleto González Víquez;Cleto González Víquez;Cleto;González;-2;Male;-;-
Calle Iberia;Iberia;Iberia;;2;Female;-;-;https://es.wikipedia.org/wiki/Karla_Iberia_S%C3%A1nchez
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Luc%C3%ADa_Dom%C3%ADnguez
Calle San Rafael;San Rafael;San;Rafael;-2;Male;-;-
Calle Las Delicias;Las Delicias;Las;Delicias;2;Female;-;-;https://es.wikipedia.org/wiki/Pilar_del_Castillo
Calle Esperanza;Esperanza;Esperanza;;2;Female;-;-;https://es.wikipedia.org/wiki/Esperanza_Spalding
Liberia - Santa María;Liberia - Santa María;Liberia;-;2;Female;-;-;https://es.wikipedia.org/wiki/Antonia_Santa_Mar%C3%ADa
Avenida Ricardo Jiménez Oreamuno;Ricardo Jiménez Oreamuno;Ricardo;Jiménez;-2;Male;-;-
Calle Tierra Blanca;Tierra Blanca;Tierra;Blanca;2;Female;-;-;https://es.wikipedia.org/wiki/Javiera_Blanco
