calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Paseo de la Segunda República;Segunda República;Segunda;República;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Estéfana;Estéfana;Estéfana;;2;Female;-;-;https://es.wikipedia.org/wiki/Est%C3%A9fani_Esp%C3%ADn
Calle Carmen;Carmen;Carmen;;2;Female;-;-;https://es.wikipedia.org/wiki/Carmen_Miranda
Calle La Mora;La Mora;La;Mora;2;Female;-;-;https://es.wikipedia.org/wiki/Lola_Mora
Calle La Orquídea;La Orquídea;La;Orquídea;2;Female;-;-;https://es.wikipedia.org/wiki/Carla_Rueda
Calle Juan Félix Acuña;Juan Félix Acuña;Juan;Félix;-2;Male;-;-
Calle La Bamba;La Bamba;La;Bamba;-2;Male;-;-
Calle Claudio Rodríguez;Claudio Rodríguez;Claudio;Rodríguez;-2;Male;-;-
Calle Juan Martínez;Juan Martínez;Juan;Martínez;-2;Male;-;-
Calle Damiana;Damiana;Damiana;;2;Female;-;-;https://es.wikipedia.org/wiki/Damiana_Eugenio
Calle Ronda;Ronda;Ronda;;2;Female;-;-;https://es.wikipedia.org/wiki/Ronda_Rousey
Calle Justo Hernández;Justo Hernández;Justo;Hernández;-2;Male;-;-
Calle La Armonía;La Armonía;La;Armonía;2;Female;-;-;https://es.wikipedia.org/wiki/Manuela_Carmona
Calle Las Mercedes;Las Mercedes;Las;Mercedes;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_las_Mercedes_de_Orleans
Calle La Cruz;La Cruz;La;Cruz;2;Female;-;-;https://es.wikipedia.org/wiki/Ada_de_la_Cruz
Calle del Castillo;Castillo;Castillo;;2;Female;-;-;https://es.wikipedia.org/wiki/Castillo_Su%C3%A1rez
Calle Duarte;Duarte;Duarte;;-2;Male;-;-
Calle Azahar;Azahar;Azahar;;2;Female;-;-;https://es.wikipedia.org/wiki/Azahara_Mu%C3%B1oz
Rotonda Luis Cruz Mesa;Luis Cruz Mesa;Luis;Cruz;-2;Male;-;-
Paseo Rubén Darío;Rubén Darío;Rubén;Darío;-2;Male;-;-
Calle Francisco Soler;Francisco Soler;Francisco;Soler;-2;Male;-;-
Avenida Manuel de Jesús Jiménez;Manuel Jesús Jiménez;Manuel;Jesús;-2;Male;-;-
Avenida Concordia;Concordia;Concordia;;2;Female;-;-;https://es.wikipedia.org/wiki/Concordia_Selander
Calle Carlos Salazar Herrera;Carlos Salazar Herrera;Carlos;Salazar;-2;Male;-;-
Calle Alejandro Alvarado Quirós;Alejandro Alvarado Quirós;Alejandro;Alvarado;-2;Male;-;-
Calle Miguel Obregón Lizano;Miguel Obregón Lizano;Miguel;Obregón;-2;Male;-;-
Calle Luis Felipe González;Luis Felipe González;Luis;Felipe;-2;Male;-;-
Calle Rafael Ángel Troyo;Rafael Ángel Troyo;Rafael;Ángel;-2;Male;-;-
Calle Faustinoi Montes de Oca;Faustinoi Montes Oca;Faustinoi;Montes;2;Female;-;-;https://es.wikipedia.org/wiki/Justine_Mintsa
Avenida San Martín;San Martín;San;Martín;-2;Male;-;-
Calle Rafael Cardona;Rafael Cardona;Rafael;Cardona;-2;Male;-;-
Calle Marín Muñoz;Marín Muñoz;Marín;Muñoz;-2;Male;-;-
Calle Emma Gamboa;Emma Gamboa;Emma;Gamboa;2;Female;-;-;https://es.wikipedia.org/wiki/Emma_Gamboa_Alvarado
Calle Max Jiménez;Max Jiménez;Max;Jiménez;-2;Male;-;-
Calle José Marín Muñoz;José Marín Muñoz;José;Marín;-2;Male;-;-
Calle Ricardo Fernández Guardia;Ricardo Fernández Guardia;Ricardo;Fernández;-2;Male;-;-
Avenida Omar Dengo;Omar Dengo;Omar;Dengo;-2;Male;-;-
Calle Alejandro Aguilar Machado;Alejandro Aguilar Machado;Alejandro;Aguilar;-2;Male;-;-
