Vía 308;308;308;;0;Unknown;-;-
Calle Meléndez;Meléndez;Meléndez;;0;Unknown;-;-
Calle Yerbabuena;Yerbabuena;Yerbabuena;;0;Unknown;-;-
Subiendo del Mojón de Cooper;Subiendo del Mojón de Cooper;Subiendo;del;0;Unknown;-;-
Vía 308;308;308;;0;Unknown;-;-
Calle La Torre;La Torre;La;Torre;0;Unknown;-;-
Vía 309;309;309;;0;Unknown;-;-
Vía 307;307;307;;0;Unknown;-;-
Calle La Palma;La Palma;La;Palma;2;Female;-;-
Calle Poró;Poró;Poró;;0;Unknown;-;-
Calle Yerbabuena;Yerbabuena;Yerbabuena;;0;Unknown;-;-
Calle Tornillal;Tornillal;Tornillal;;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Quetzal;Quetzal;Quetzal;;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Diagonal 45;Diagonal 45;Diagonal;45;0;Unknown;-;-
Avenida 65;65;65;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Calle 67;67;67;;0;Unknown;-;-
Calle 35A;35A;35A;;0;Unknown;-;-
Diagonal 67;Diagonal 67;Diagonal;67;0;Unknown;-;-
Avenida 67;67;67;;0;Unknown;-;-
Avenida 67A;67A;67A;;0;Unknown;-;-
Avenida 67;67;67;;0;Unknown;-;-
Calle 43;43;43;;0;Unknown;-;-
Calle 53;53;53;;0;Unknown;-;-
Avenida 67C;67C;67C;;0;Unknown;-;-
Diagonal 65;Diagonal 65;Diagonal;65;0;Unknown;-;-
Calle 77;77;77;;0;Unknown;-;-
Calle 79;79;79;;0;Unknown;-;-
Avenida 69;69;69;;0;Unknown;-;-
Avenida 67C;67C;67C;;0;Unknown;-;-
Avenida 67;67;67;;0;Unknown;-;-
Calle 63;63;63;;0;Unknown;-;-
Avenida 67;67;67;;0;Unknown;-;-
Avenida 45;45;45;;0;Unknown;-;-
Calle 69;69;69;;0;Unknown;-;-
Calle 83B;83B;83B;;0;Unknown;-;-
Calle 83A;83A;83A;;0;Unknown;-;-
Avenida 67;67;67;;0;Unknown;-;-
Calle 95;95;95;;0;Unknown;-;-
Calle 89;89;89;;0;Unknown;-;-
Avenida 75A;75A;75A;;0;Unknown;-;-
Avenida 77;77;77;;0;Unknown;-;-
Avenida 81;81;81;;0;Unknown;-;-
Avenida 79A;79A;79A;;0;Unknown;-;-
Avenida 79;79;79;;0;Unknown;-;-
Calle 91;91;91;;0;Unknown;-;-
Calle 91A;91A;91A;;0;Unknown;-;-
Vía 220;220;220;;0;Unknown;-;-
Vía 308;308;308;;0;Unknown;-;-
Calle 71;71;71;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Calle 77;77;77;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Calle 75;75;75;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Avenida 49;49;49;;0;Unknown;-;-
Avenida 47;47;47;;0;Unknown;-;-
Calle 65;65;65;;0;Unknown;-;-
Calle 61;61;61;;0;Unknown;-;-
Calle 65;65;65;;0;Unknown;-;-
Calle 57A;57A;57A;;0;Unknown;-;-
Avenida 63A;63A;63A;;0;Unknown;-;-
Avenida 63;63;63;;0;Unknown;-;-
Avenida 69A;69A;69A;;0;Unknown;-;-
Calle 57;57;57;;0;Unknown;-;-
Avenida 67C;67C;67C;;0;Unknown;-;-
Avenida 67B;67B;67B;;0;Unknown;-;-
Calle 57A;57A;57A;;0;Unknown;-;-
Avenida 67A;67A;67A;;0;Unknown;-;-
Avenida 67A;67A;67A;;0;Unknown;-;-
Avenida 69;69;69;;0;Unknown;-;-
Avenida 69;69;69;;0;Unknown;-;-
Avenida 67B;67B;67B;;0;Unknown;-;-
Calle 51;51;51;;0;Unknown;-;-
Avenida 71;71;71;;0;Unknown;-;-
Calle 71A;71A;71A;;0;Unknown;-;-
Calle 67;67;67;;0;Unknown;-;-
Calle 71;71;71;;0;Unknown;-;-
Calle 75;75;75;;0;Unknown;-;-
Avenida 69B;69B;69B;;0;Unknown;-;-
Calle 73;73;73;;0;Unknown;-;-
Calle 75;75;75;;0;Unknown;-;-
Calle 77;77;77;;0;Unknown;-;-
Calle 75;75;75;;0;Unknown;-;-
Avenida 49A;49A;49A;;0;Unknown;-;-
Avenida 51;51;51;;0;Unknown;-;-
Calle 57A;57A;57A;;0;Unknown;-;-
Avenida 53;53;53;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Calle 67;67;67;;0;Unknown;-;-
Calle 75;75;75;;0;Unknown;-;-
Calle 93;93;93;;0;Unknown;-;-
Calle 93A;93A;93A;;0;Unknown;-;-
Calle 91;91;91;;0;Unknown;-;-
Calle 87;87;87;;0;Unknown;-;-
Avenida 61A;61A;61A;;0;Unknown;-;-
