Vía 725;725;725;;0;Unknown;-;-
Calle Acequia Grande;Acequia Grande;Acequia;Grande;0;Unknown;-;-
Vía 704;704;704;;0;Unknown;-;-
Calle Oropéndola;Oropéndola;Oropéndola;;0;Unknown;-;-
Calle Río Grande;Calle  Grande;Calle;;0;Unknown;-;-
Vía 726;726;726;;0;Unknown;-;-
Vía 148;148;148;;0;Unknown;-;-
Calle Río Grande;Calle  Grande;Calle;;0;Unknown;-;-
Calle Barquero;Barquero;Barquero;;0;Unknown;-;-
Calle Espino;Espino;Espino;;2;Female;-;-
Vía 703;703;703;;0;Unknown;-;-
Calle Porozal;Porozal;Porozal;;0;Unknown;-;-
Calle Villarreal;Villarreal;Villarreal;;0;Unknown;-;-
Calle La Virgen;La Virgen;La;Virgen;2;Female;-;-
Vía 141;141;141;;0;Unknown;-;-
Calle San Roquillo;San Roquillo;San;Roquillo;0;Unknown;-;-
Calle Desamparados;Desamparados;Desamparados;;2;Female;-;-
Calle Murciélago;Murciélago;Murciélago;;0;Unknown;-;-
Calle El Muro;El Muro;El;Muro;0;Unknown;-;-
Calle Valencia;Valencia;Valencia;;0;Unknown;-;-
Calle La Trinidad;La Trinidad;La;Trinidad;2;Female;-;-
Calle Rojas;Rojas;Rojas;;0;Unknown;-;-
Calle Espino;Espino;Espino;;2;Female;-;-
Calle Desamparados;Desamparados;Desamparados;;2;Female;-;-
Calle García;García;García;;-2;Male;-;-
Calle Elizondo;Elizondo;Elizondo;;0;Unknown;-;-
Calle Carlo Elizondo;Carlo Elizondo;Carlo;Elizondo;-2;Male;-;-
Calle La Casona;La Casona;La;Casona;0;Unknown;-;-
Calle Barranquilla;Barranquilla;Barranquilla;;0;Unknown;-;-
Vía 141;141;141;;0;Unknown;-;-
Calle Oropéndola;Oropéndola;Oropéndola;;0;Unknown;-;-
Calle Villarreal;Villarreal;Villarreal;;0;Unknown;-;-
Vía 141;141;141;;0;Unknown;-;-
Vía 141;141;141;;0;Unknown;-;-
Vía 710;710;710;;0;Unknown;-;-
Vía 703;703;703;;0;Unknown;-;-
Calle Solís;Solís;Solís;;0;Unknown;-;-
Calle Bajo las Viudas;Bajo las Viudas;Bajo;las;0;Unknown;-;-
Calle La Isla;La Isla;La;Isla;2;Female;-;-
Calle Robles;Robles;Robles;;0;Unknown;-;-
Calle Varela;Varela;Varela;;0;Unknown;-;-
Calle Bajo Arrieta;Bajo Arrieta;Bajo;Arrieta;2;Female;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Calle La Virgen;La Virgen;La;Virgen;2;Female;-;-
Calle Valverde;Valverde;Valverde;;0;Unknown;-;-
Vía 141;141;141;;0;Unknown;-;-
Calle Tacacal;Tacacal;Tacacal;;0;Unknown;-;-
Vía 709;709;709;;0;Unknown;-;-
Calle Arrieta;Arrieta;Arrieta;;2;Female;-;-
Vía 709;709;709;;0;Unknown;-;-
Calle Aguilera;Aguilera;Aguilera;;0;Unknown;-;-
Calle Bajo Arrieta;Bajo Arrieta;Bajo;Arrieta;2;Female;-;-
Calle El Muro;El Muro;El;Muro;0;Unknown;-;-
Calle Valencia;Valencia;Valencia;;0;Unknown;-;-
Calle Ramírez;Ramírez;Ramírez;;0;Unknown;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Calle Rojas;Rojas;Rojas;;0;Unknown;-;-
Calle La Virgen;La Virgen;La;Virgen;2;Female;-;-
Calle Chayote;Chayote;Chayote;;0;Unknown;-;-
Calle Chayote;Chayote;Chayote;;0;Unknown;-;-
Calle Zúñiga;Zúñiga;Zúñiga;;0;Unknown;-;-
Calle Las Malvinas;Las Malvinas;Las;Malvinas;0;Unknown;-;-
Calle La Casona;La Casona;La;Casona;0;Unknown;-;-
Calle La Altura;La Altura;La;Altura;0;Unknown;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Calle Rincón;Rincón;Rincón;;0;Unknown;-;-
Vía 141;141;141;;0;Unknown;-;-
Calle Las Malvinas;Las Malvinas;Las;Malvinas;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Vía 706;706;706;;0;Unknown;-;-
