calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle La Virgen;La Virgen;La;Virgen;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_de_Hungr%C3%ADa_la_virgen
Calle La Trinidad;La Trinidad;La;Trinidad;2;Female;-;-;https://es.wikipedia.org/wiki/Zelina_Vega
Calle Carlo Elizondo;Carlo Elizondo;Carlo;Elizondo;-2;Male;-;-;
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-;
Calle San Pedro;San Pedro;San;Pedro;-2;Male;-;-;
Puente Rafael Yglesias Castro;Rafael Yglesias Castro;Rafael;Yglesias;-2;Male;-;-;
Avenida José del Olmo Salvador;José Olmo Salvador;José;Olmo;-2;Male;-;-;
Calle Pérez;Pérez;Pérez;;-2;Male;-;-;
Calle Damaris;Damaris;Damaris;;2;Female;-;-;https://es.wikipedia.org/wiki/Damaris_(cantante)
Calle Rafael Monge;Rafael Monge;Rafael;Monge;-2;Male;-;-;
