Autopista Bernardo Soto;pista Bernardo Soto
Calle Brujos;Brujos
Calle Las Palmas;Las Palmas
Calle Maroto;Maroto
Calle La Rosa;La Rosa
Calle Vargas Norte;Vargas Norte
Calle La Granja;La Granja
Calle Marginal Norte;Marginal Norte
Calle Vargas Norte;Vargas Norte
Avenida 11;11
Calle El Beneficio;El Beneficio
Calle Vargas;Vargas
Calle Marginal Sur;Marginal Sur
Avenida 15;15
Calle Los Marinos;Los Marinos
Calle Marginal Norte;Marginal Norte
Calle Vásquez;Vásquez
Calle 6;6
Calle Torres;Torres
Calle Marginal Norte;Marginal Norte
Calle San Francisco;San Francisco
Calle Vargas;Vargas
Calle 8;8
Calle Moncha;Moncha
Autopista Bernardo Soto;pista Bernardo Soto
Autopista Bernardo Soto;pista Bernardo Soto
Calle Jiménez;Jiménez
Autopista Bernardo Soto;pista Bernardo Soto
Calle Escuela;Escuela
Vía 169;169
Autopista Bernardo Soto;pista Bernardo Soto
Autopista Bernardo Soto;pista Bernardo Soto
Autopista Bernardo Soto;pista Bernardo Soto
Autopista Bernardo Soto;pista Bernardo Soto
Avenida 9;9
Calle 1;1
Calle Real;Real
Avenida 11;11
Avenida 13;13
Calle Madre Verde;Madre Verde
Calle Los Morera;Los Morera
Calle El Manzano;El Manzano
Vía 135;135
Calle Tanques;Tanques
Calle Ángeles;Ángeles
Vía 135;135
Vía 135;135
Calle Vidriera Blanco;Vidriera Blanco
Calle El Beneficio;El Beneficio
Calle 4;4
Calle Marginal Norte;Marginal Norte
Vía 169;169
Calle La Granja;La Granja
Calle Lizanias Pacheco;Lizanias Pacheco
Calle Plaza;Plaza
Calle Ramírez;Ramírez
Calle El Beneficio;El Beneficio
Calle El Beneficio;El Beneficio
Autopista Bernardo Soto;pista Bernardo Soto
Vía 135;135
Calle Brujos;Brujos
Calle Las Palmas;Las Palmas
Calle 3;3
Calle La Granja;La Granja
Calle La Salchichonera;La Salchichonera
Calle La Salchichonera;La Salchichonera
Vía 169;169
Calle La Cima;La Cima
Calle La Cima;La Cima
Calle Julio Salas;Julio Salas
Calle Marginal Norte;Marginal Norte
Calle Chimbolo;Chimbolo
Calle Los Marinos;Los Marinos
Calle 4;4
Autopista Bernardo Soto;pista Bernardo Soto
Avenida 6;6
Calle 4;4
Avenida 3;3
Calle La Virgen;La Virgen
Calle El Guayabal;El Guayabal
Calle Jireth;Jireth
Calle 8;8
Calle Castillo;Castillo
Calle Vargas Norte;Vargas Norte
Avenida 6A;6A
Calle 1;1
Calle 5;5
Calle Central;Central
Avenida 3;3
Avenida 4;4
Calle Vargas;Vargas
Calle Las Palmas;Las Palmas
Calle La Granja;La Granja
Calle La Plaza;La Plaza
Avenida 4A;4A
Calle 3;3
Calle Cocaleca;Cocaleca
Calle El Zoológico;El Zoológico
Avenida 8;8
Calle Los Tamuga;Los Tamuga
Vía 148;148
Avenida 4;4
Calle 2A;2A
Avenida 1;1
Calle Peraza;Peraza
Calle Peraza;Peraza
Calle El Común;El Común
Calle 5;5
Avenida 12;12
Calle El Playón;El Playón
Calle Quesada;Quesada
Calle El Común;El Común
Avenida Central;Central
Calle Chanceros;Chanceros
Calle Cubero;Cubero
Avenida 6;6
Avenida 4;4
Calle Vargas;Vargas
Vía 148;148
Calle Escuela;Escuela
Avenida 3;3
Avenida 9;9
Calle 1;1
Avenida 7;7
Calle 3;3
Avenida 11;11
Calle 1;1
Calle 5;5
Calle Río Grande;Calle  Grande
Calle 4;4
Calle 2;2
Avenida 10;10
Vía 135;135
Calle Central;Central
Avenida Central;Central
Calle Chanceros;Chanceros
Calle 2B;2B
Calle 2;2
Calle 0A;0A
Avenida 10;10
Avenida 10;10
Calle Cocaleca;Cocaleca
Calle 3A;3A
Avenida 5;5
Avenida 2;2
Calle 6;6
Calle Esquipulas;Esquipulas
Calle 11;11
Avenida 6;6
Calle Central;Central
Vía 148;148
