Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Calle Brujos;Brujos;Brujos;;0;Unknown;-;-
Calle Las Palmas;Las Palmas;Las;Palmas;0;Unknown;-;-
Calle Maroto;Maroto;Maroto;;0;Unknown;-;-
Calle La Rosa;La Rosa;La;Rosa;2;Female;-;-
Calle Vargas Norte;Vargas Norte;Vargas;Norte;0;Unknown;-;-
Calle La Granja;La Granja;La;Granja;0;Unknown;-;-
Calle Marginal Norte;Marginal Norte;Marginal;Norte;0;Unknown;-;-
Calle Vargas Norte;Vargas Norte;Vargas;Norte;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Calle El Beneficio;El Beneficio;El;Beneficio;0;Unknown;-;-
Calle Vargas;Vargas;Vargas;;0;Unknown;-;-
Calle Marginal Sur;Marginal Sur;Marginal;Sur;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Calle Los Marinos;Los Marinos;Los;Marinos;0;Unknown;-;-
Calle Marginal Norte;Marginal Norte;Marginal;Norte;0;Unknown;-;-
Calle Vásquez;Vásquez;Vásquez;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle Torres;Torres;Torres;;0;Unknown;-;-
Calle Marginal Norte;Marginal Norte;Marginal;Norte;0;Unknown;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Vargas;Vargas;Vargas;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Calle Moncha;Moncha;Moncha;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Calle Jiménez;Jiménez;Jiménez;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Calle Escuela;Escuela;Escuela;;0;Unknown;-;-
Vía 169;169;169;;0;Unknown;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-
Avenida 9;9;9;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle Real;Real;Real;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Calle Madre Verde;Madre Verde;Madre;Verde;0;Unknown;-;-
Calle Los Morera;Los Morera;Los;Morera;0;Unknown;-;-
Calle El Manzano;El Manzano;El;Manzano;0;Unknown;-;-
Vía 135;135;135;;0;Unknown;-;-
Calle Tanques;Tanques;Tanques;;0;Unknown;-;-
Calle Ángeles;Ángeles;Ángeles;;2;Female;-;-
Vía 135;135;135;;0;Unknown;-;-
Vía 135;135;135;;0;Unknown;-;-
Calle Vidriera Blanco;Vidriera Blanco;Vidriera;Blanco;0;Unknown;-;-
Calle El Beneficio;El Beneficio;El;Beneficio;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle Marginal Norte;Marginal Norte;Marginal;Norte;0;Unknown;-;-
Vía 169;169;169;;0;Unknown;-;-
Calle La Granja;La Granja;La;Granja;0;Unknown;-;-
Calle Lizanias Pacheco;Lizanias Pacheco;Lizanias;Pacheco;0;Unknown;-;-
