calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Autopista Bernardo Soto;pista Bernardo Soto;pista;Bernardo;-2;Male;-;-;
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-;
Calle Julio Salas;Julio Salas;Julio;Salas;-2;Male;-;-;
Calle Azarías Castro;Azarías Castro;Azarías;Castro;-2;Male;-;-;
Calle Prudencio Monge;Prudencio Monge;Prudencio;Monge;-2;Male;-;-;
Calle Tino Badilla;Tino Badilla;Tino;Badilla;-2;Male;-;-;
Calle Paulino Ulate;Paulino Ulate;Paulino;Ulate;-2;Male;-;-;
Calle Rubén Rojas;Rubén Rojas;Rubén;Rojas;-2;Male;-;-;
Calle María Eugenia;María Eugenia;María;Eugenia;2;Female;-;-;
Calle Porfirio Alvarado;Porfirio Alvarado;Porfirio;Alvarado;-2;Male;-;-;
Calle Tilo Vargas;Tilo Vargas;Tilo;Vargas;-2;Male;-;-;
Calle Santiago;Santiago;Santiago;;-2;Male;-;-;
Calle Santa Lucía;Santa Lucía;Santa;Lucía;2;Female;-;-;https://es.wikipedia.org/wiki/Luc%C3%ADa_de_Siracusa
Calle Fernando Vargas;Fernando Vargas;Fernando;Vargas;-2;Male;-;-;
Calle San José;San José;San;José;-2;Male;-;-;
Calle Rafael Solano;Rafael Solano;Rafael;Solano;-2;Male;-;-;
Calle Carlos Tamuga;Carlos Tamuga;Carlos;Tamuga;-2;Male;-;-;
Calle Ivo Rojas;Ivo Rojas;Ivo;Rojas;-2;Male;-;-;
