calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Santa Bárbara;Santa Bárbara;Santa;Bárbara;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_B%C3%A1rbara
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-;https://es.wikipedia.org/wiki/Linda_Stahl
Calle La Hilda;La Hilda;La;Hilda;2;Female;-;-;https://es.wikipedia.org/wiki/Carla_Hidalgo
Calle Santiago Alvarado;Santiago Alvarado;Santiago;Alvarado;-2;Male;-;-
Calle Isaac Valverde Huertas;Isaac ValverHuertas;Isaac;ValverHuertas;-2;Male;-;-
Calle La Cruz;La Cruz;La;Cruz;2;Female;-;-;https://es.wikipedia.org/wiki/Ada_de_la_Cruz
Calle Reyes;Reyes;Reyes;;2;Female;-;-;https://es.wikipedia.org/wiki/Reyes_Moleres
Calle Mónica;Mónica;Mónica;;2;Female;-;-;https://es.wikipedia.org/wiki/M%C3%B3nica_Bleibtreu
Calle La Senda;La Senda;La;Senda;2;Female;-;-;https://es.wikipedia.org/wiki/Garsenda_de_Sabran
Calle San José;San José;San;José;-2;Male;-;-
Calle San Gerardo;San Gerardo;San;Gerardo;-2;Male;-;-
Calle Guadalupe;Guadalupe;Guadalupe;;2;Female;-;-;https://es.wikipedia.org/wiki/Guadalupe_Larriva
Calle Rufino;Rufino;Rufino;;-2;Male;-;-
Calle La Arena;La Arena;La;Arena;2;Female;-;-;https://es.wikipedia.org/wiki/Paula_Arenas
