calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Montaña Azul;Montaña Azul;Montaña;Azul;2;Female;-;-;https://es.wikipedia.org/wiki/Anna_Monta%C3%B1ana
Calle Lázaro;Lázaro;Lázaro;;-2;Male;-;-
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-;https://es.wikipedia.org/wiki/Linda_Stahl
Calle Rosalinda;Rosalinda;Rosalinda;;2;Female;-;-;https://es.wikipedia.org/wiki/Rosalinda_Celentano
Calle Bin;Bin;Bin;;2;Female;-;-;https://es.wikipedia.org/wiki/Bineta_Diedhiou
Calle Cristo Rey;Cristo Rey;Cristo;Rey;-2;Male;-;-
Calle Gildo;Gildo;Gildo;;-2;Male;-;-
Calle Salomón Hernández;Salomón Hernández;Salomón;Hernández;-2;Male;-;-
Calle Las Mercedes;Las Mercedes;Las;Mercedes;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_las_Mercedes_de_Orleans
Calle Agustín Valerio;Agustín Valerio;Agustín;Valerio;-2;Male;-;-
Boulevard Victoria;Victoria;Victoria;;2;Female;-;-;https://es.wikipedia.org/wiki/Victoria_(m%C3%A1rtir)
Calle Venecia;Venecia;Venecia;;2;Female;-;-;https://es.wikipedia.org/wiki/Venetia_Phair
Calle Viena;Viena;Viena;;2;Female;-;-;https://es.wikipedia.org/wiki/Viena_Ruiz
Calle Nazareth;Nazareth;Nazareth;;2;Female;-;-;https://es.wikipedia.org/wiki/Nazareth_Cascante
Avenida La Gloria;La Gloria;La;Gloria;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_la_Gloria_de_Orleans-Braganza
Calle El Milagro;El Milagro;El;Milagro;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Milagro_Par%C3%ADs
Calle Navidad;Navidad;Navidad;;2;Female;-;-;https://es.wikipedia.org/wiki/Patricia_Navidad
Calle La Esperanza;La Esperanza;La;Esperanza;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Esperanza_Franco-Molano
Ruta Nacional 112;Ruta Nacional 112;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Avenida Verona;Verona;Verona;;2;Female;-;-;https://es.wikipedia.org/wiki/Verona_Pooth
Calle Rubí;Rubí;Rubí;;2;Female;-;-;https://es.wikipedia.org/wiki/Rub%C3%AD_Leza
Calle Santa Elena;Santa Elena;Santa;Elena;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Elena_de_Orleans
