Vía 104;104;104;;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Calle 118;118;118;;0;Unknown;-;-
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Avenida 3A;3A;3A;;0;Unknown;-;-
Avenida 7A;7A;7A;;0;Unknown;-;-
Calle 78;78;78;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 78A;78A;78A;;0;Unknown;-;-
Avenida 1A;1A;1A;;0;Unknown;-;-
Avenida 43;43;43;;0;Unknown;-;-
Paseo de la Segunda República;Segunda República;Segunda;República;2;Female;-;-
Autopista General Cañas;pista General Cañas;pista;General;0;Unknown;-;-
Transversal 76;Transversal 76;Transversal;76;0;Unknown;-;-
Transversal 72;Transversal 72;Transversal;72;0;Unknown;-;-
Calle 102;102;102;;0;Unknown;-;-
Calle 90;90;90;;0;Unknown;-;-
Calle 86A;86A;86A;;0;Unknown;-;-
Avenida Elena Lahmann de Rohrmoser;Elena Lahmann Rohrmoser;Elena;Lahmann;2;Female;-;-
Calle 106;106;106;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 17;17;17;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Calle 110;110;110;;0;Unknown;-;-
Calle 108;108;108;;0;Unknown;-;-
Avenida 15A;15A;15A;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 23A;23A;23A;;0;Unknown;-;-
Avenida 23A;23A;23A;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Calle 144;144;144;;0;Unknown;-;-
Calle 122;122;122;;0;Unknown;-;-
Calle 124;124;124;;0;Unknown;-;-
Calle 126;126;126;;0;Unknown;-;-
Calle 130;130;130;;0;Unknown;-;-
Calle 128;128;128;;0;Unknown;-;-
Calle Rafael Barroeta;Rafael Barroeta;Rafael;Barroeta;-2;Male;-;-
Calle 136;136;136;;0;Unknown;-;-
