calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Autopista Próspero Fernández;pista Próspero Fernández;pista;Próspero;-2;Male;-;-
Paseo de la Segunda República;Segunda República;Segunda;República;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Avenida Elena Lahmann de Rohrmoser;Elena Lahmann Rohrmoser;Elena;Lahmann;2;Female;-;-;https://es.wikipedia.org/wiki/Yelena_Lashm%C3%A1nova
Calle Rafael Barroeta;Rafael Barroeta;Rafael;Barroeta;-2;Male;-;-
Boulevard Ernesto Rohrmoser;Ernesto Rohrmoser;Ernesto;Rohrmoser;-2;Male;-;-
Calle Alexander Von Humboldt;Alexander Von Humboldt;Alexander;Von;-2;Male;-;-
Calle Dr. Carlos Durán;Dr. Carlos Durán;Dr.;Carlos;-2;Male;-;-
Puente Alfredo González Flores;Alfredo González Flores;Alfredo;González;-2;Male;-;-
Avenida Joaquín García Monge;Joaquín García Monge;Joaquín;García;-2;Male;-;-
Avenida Eladio Prado Sáenz;Eladio Prado Sáenz;Eladio;Prado;-2;Male;-;-
Calle José María Zeledón;José María Zeledón;José;María;-2;Male;-;-
Calle Juan Rafael Chacón;Juan Rafael Chacón;Juan;Rafael;-2;Male;-;-
Calle Teodorico Quirós;Teodorico Quirós;Teodorico;Quirós;-2;Male;-;-
Calle Luis Pasteur;Luis Pasteur;Luis;Pasteur;-2;Male;-;-
Avenida Mauro Fernández;Mauro Fernández;Mauro;Fernández;-2;Male;-;-
Calle Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;-;-
Calle Enrique Echandi;Enrique Echandi;Enrique;Echandi;-2;Male;-;-
Calle Constantino Láscaris;Constantino Láscaris;Constantino;Láscaris;-2;Male;-;-
Calle Ricardo Rojas Vincenzi;Ricardo Rojas Vincenzi;Ricardo;Rojas;-2;Male;-;-
Avenida Manuel María de Peralta;Manuel María Peralta;Manuel;María;-2;Male;-;-
Calle Joaquín Vargas Coto;Joaquín Vargas Coto;Joaquín;Vargas;-2;Male;-;-
Calle Juan Rafael Mora Porras;Juan Rafael Mora Porras;Juan;Rafael;-2;Male;-;-
Puente Juan Pablo II;Juan Pablo II;Juan;Pablo;-2;Male;-;-
Calle Juan Ramón Bonilla;Juan Ramón Bonilla;Juan;Ramón;-2;Male;-;-
Calle Monseñor Víctor M. Sanabria Martínez;Monseñor Víctor M. Sanabria Martínez;Monseñor;Víctor;-2;Male;-;-
Avenida Carlos Gagini;Carlos Gagini;Carlos;Gagini;-2;Male;-;-
Avenida Manuel de Jesús Jiménez;Manuel Jesús Jiménez;Manuel;Jesús;-2;Male;-;-
Calle Justo A. Facio;Justo A. Facio;Justo;A.;-2;Male;-;-
Avenida Presidente Roosevelt;Presidente Roosevelt;Presidente;Roosevelt;-2;Male;-;-
Calle Dr. Ricardo Moreno Cañas;Dr. Ricardo Moreno Cañas;Dr.;Ricardo;-2;Male;-;-
Avenida Nicolás Marín;Nicolás Marín;Nicolás;Marín;-2;Male;-;-
Calle Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male;-;-
Avenida Florencio del Castillo;Florencio Castillo;Florencio;Castillo;-2;Male;-;-
Calle Miguel Hidalgo y Costilla;Miguel Hidalgo y Costilla;Miguel;Hidalgo;-2;Male;-;-
