Calle La Bagaceña;La Bagaceña;La;Bagaceña;0;Unknown;-;-
Calle 45A;45A;45A;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Calle Larga;Larga;Larga;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Calle 43;43;43;;0;Unknown;-;-
Calle 47;47;47;;0;Unknown;-;-
Calle La Quintana;La Quintana;La;Quintana;0;Unknown;-;-
Calle 49;49;49;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;-;-
Calle Venero;Venero;Venero;;0;Unknown;-;-
Calle 35;35;35;;0;Unknown;-;-
Calle 31;31;31;;0;Unknown;-;-
Calle Nicolás;Nicolás;Nicolás;;-2;Male;-;-
Calle María Manca;María Manca;María;Manca;2;Female;-;-
Calle 43;43;43;;0;Unknown;-;-
Calle Uriche;Uriche;Uriche;;0;Unknown;-;-
Calle Corobicí;Corobicí;Corobicí;;0;Unknown;-;-
Calle Nagatak;Nagatak;Nagatak;;0;Unknown;-;-
Calle Kamuk;Kamuk;Kamuk;;0;Unknown;-;-
Calle Bribri;Bribri;Bribri;;0;Unknown;-;-
Calle Bratsi;Bratsi;Bratsi;;0;Unknown;-;-
Calle Zurquí;Zurquí;Zurquí;;0;Unknown;-;-
Calle Piedades;Piedades;Piedades;;2;Female;-;-
Avenida 0;0;0;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 49;49;49;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 39;39;39;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 39A;39A;39A;;0;Unknown;-;-
Calle 29;29;29;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 17;17;17;;0;Unknown;-;-
Calle A;A;A;;0;Unknown;-;-
Calle B;B;B;;0;Unknown;-;-
Calle Chinita;Chinita;Chinita;;0;Unknown;-;-
Calle 27A;27A;27A;;0;Unknown;-;-
Calle La Quintana;La Quintana;La;Quintana;0;Unknown;-;-
Calle Quintana Norte;Quintana Norte;Quintana;Norte;0;Unknown;-;-
Calle 45;45;45;;0;Unknown;-;-
Calle 35;35;35;;0;Unknown;-;-
Calle 23A;23A;23A;;0;Unknown;-;-
Calle 23;23;23;;0;Unknown;-;-
Calle 23A;23A;23A;;0;Unknown;-;-
Calle 37;37;37;;0;Unknown;-;-
Calle 39;39;39;;0;Unknown;-;-
Calle 37A;37A;37A;;0;Unknown;-;-
Calle 33;33;33;;0;Unknown;-;-
