Calle Monte de la Cruz;Monte Cruz;Monte;Cruz;2;Female;-;-
Calle Real de la Hoja;Real Hoja;Real;Hoja;0;Unknown;-;-
Camino Los Cipreces;Los Cipreces;Los;Cipreces;0;Unknown;-;-
Camino Los Lirios;Los Lirios;Los;Lirios;2;Female;-;-
Camino de Los Cipreses;Los Cipreses;Los;Cipreses;0;Unknown;-;-
Camino de Los Helechos;Los Helechos;Los;Helechos;0;Unknown;-;-
Calle La Condesa;La Condesa;La;Condesa;0;Unknown;-;-
Calle Nueva;Nueva;Nueva;;0;Unknown;-;-
Calle Gallito;Gallito;Gallito;;0;Unknown;-;-
Calle Las Chorreras;Las Chorreras;Las;Chorreras;0;Unknown;-;-
Camino de La Ardilla;La Ardilla;La;Ardilla;0;Unknown;-;-
Camino de El Río;Camino El;Camino;El;2;Female;-;-
Camino de La Ardilla;La Ardilla;La;Ardilla;0;Unknown;-;-
Camino del Mapache;Mapache;Mapache;;0;Unknown;-;-
Camino de El Bosque;El Bosque;El;Bosque;0;Unknown;-;-
Calle Molina;Molina;Molina;;0;Unknown;-;-
Calle Las Chorreras;Las Chorreras;Las;Chorreras;0;Unknown;-;-
Calle Las Chorreras;Las Chorreras;Las;Chorreras;0;Unknown;-;-
Camino de La Roca;La Roca;La;Roca;2;Female;-;-
Camino de Las Moras;Las Moras;Las;Moras;0;Unknown;-;-
Camino de El Río;Camino El;Camino;El;2;Female;-;-
Camino de El Sol;El Sol;El;Sol;2;Female;-;-
Camino de Los Cipreses;Los Cipreses;Los;Cipreses;0;Unknown;-;-
Camino de El Valle;El Valle;El;Valle;2;Female;-;-
Camino de El Bosque;El Bosque;El;Bosque;0;Unknown;-;-
Camino de El Venado;El Venado;El;Venado;0;Unknown;-;-
Camino de Las Moras;Las Moras;Las;Moras;0;Unknown;-;-
Camino de Las Brisas;Las Brisas;Las;Brisas;0;Unknown;-;-
Camino de El Roble;El Roble;El;Roble;0;Unknown;-;-
Caminio de El Jaúl;Caminio de El Jaúl;Caminio;de;0;Unknown;-;-
Caminio de El Jaúl;Caminio de El Jaúl;Caminio;de;0;Unknown;-;-
Camino de Las Moras;Las Moras;Las;Moras;0;Unknown;-;-
Camino de Las Moras;Las Moras;Las;Moras;0;Unknown;-;-
Calle Las Chorreras;Las Chorreras;Las;Chorreras;0;Unknown;-;-
Calle Las Chorreras;Las Chorreras;Las;Chorreras;0;Unknown;-;-
Camino El Colibrí;El Colibrí;El;Colibrí;0;Unknown;-;-
Camino El Yos;El Yos;El;Yos;0;Unknown;-;-
Camino Los Lirios;Los Lirios;Los;Lirios;2;Female;-;-
Camino de Los Cipreses;Los Cipreses;Los;Cipreses;0;Unknown;-;-
Camino de Las Calas;Las Calas;Las;Calas;0;Unknown;-;-
Calle Gallito;Gallito;Gallito;;0;Unknown;-;-
Calle Gallito;Gallito;Gallito;;0;Unknown;-;-
Vía 113;113;113;;0;Unknown;-;-
Calle Monte de la Cruz;Monte Cruz;Monte;Cruz;2;Female;-;-
Avenida Tucán;Tucán;Tucán;;0;Unknown;-;-
Avenida Magnolia;Magnolia;Magnolia;;2;Female;-;-
Calle La Condesa;La Condesa;La;Condesa;0;Unknown;-;-
Calle Ciénega;Ciénega;Ciénega;;0;Unknown;-;-
Calle Burú;Burú;Burú;;0;Unknown;-;-
Calle Ciprés;Ciprés;Ciprés;;0;Unknown;-;-
Calle Gallito;Gallito;Gallito;;0;Unknown;-;-
Calle Cerro Dantas;Cerro Dantas;Cerro;Dantas;0;Unknown;-;-
Calle Burú;Burú;Burú;;0;Unknown;-;-
Sendero Cerro Chompipe;Cerro Chompipe;Cerro;Chompipe;0;Unknown;-;-
Sendero Cerro Tibás;Cerro Tibás;Cerro;Tibás;0;Unknown;-;-
Avenida 31;31;31;;0;Unknown;-;-
Avenida 35;35;35;;0;Unknown;-;-
Calle 43;43;43;;0;Unknown;-;-
Calle 37;37;37;;0;Unknown;-;-
Calle 39;39;39;;0;Unknown;-;-
Calle 35;35;35;;0;Unknown;-;-
Avenida 37;37;37;;0;Unknown;-;-
Calle Mata de Plátano;Mata Plátano;Mata;Plátano;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Calle 31;31;31;;0;Unknown;-;-
Avenida 21A;21A;21A;;0;Unknown;-;-
Calle La Bagaceña;La Bagaceña;La;Bagaceña;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Calle Puente Piedra;Puente Piedra;Puente;Piedra;0;Unknown;-;-
Calle Puente Piedra;Puente Piedra;Puente;Piedra;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 15A;15A;15A;;0;Unknown;-;-
Avenida 7;7;7;;0;Unknown;-;-
Calle 15A;15A;15A;;0;Unknown;-;-
Avenida 35;35;35;;0;Unknown;-;-
Avenida 35;35;35;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Avenida 27;27;27;;0;Unknown;-;-
Calle 29;29;29;;0;Unknown;-;-
Avenida 37;37;37;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle 37;37;37;;0;Unknown;-;-
Calle Quintanar de la Sierra;Quintanar Sierra;Quintanar;Sierra;2;Female;-;-
Calle Las Monjas;Las Monjas;Las;Monjas;0;Unknown;-;-
Calle Cruces;Cruces;Cruces;;2;Female;-;-
Calle Hernández;Hernández;Hernández;;0;Unknown;-;-
Calle Añoranzas;Añoranzas;Añoranzas;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Calle Paraíso;Paraíso;Paraíso;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Calle Molino;Molino;Molino;;0;Unknown;-;-
Calle 21;21;21;;0;Unknown;-;-
Avenida 33;33;33;;0;Unknown;-;-
Calle Matasanos;Matasanos;Matasanos;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Calle Ebais;Ebais;Ebais;;0;Unknown;-;-
Calle La Saca;La Saca;La;Saca;0;Unknown;-;-
Calle Orozco;Orozco;Orozco;;0;Unknown;-;-
Calle Valerio;Valerio;Valerio;;-2;Male;-;-
Calle Cruces;Cruces;Cruces;;2;Female;-;-
Avenida 25;25;25;;0;Unknown;-;-
Calle 5A;5A;5A;;0;Unknown;-;-
Calle Mariachi;Mariachi;Mariachi;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Calle Güelos;Güelos;Güelos;;0;Unknown;-;-
Calle Los Mangos;Los Mangos;Los;Mangos;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 17A;17A;17A;;0;Unknown;-;-
Calle 29;29;29;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 31;31;31;;0;Unknown;-;-
Calle 33A;33A;33A;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Calle 37;37;37;;0;Unknown;-;-
Calle 23;23;23;;0;Unknown;-;-
Calle 29;29;29;;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Avenida 31A;31A;31A;;0;Unknown;-;-
Calle 0;0;0;;0;Unknown;-;-
Calle 17;17;17;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Avenida 33A;33A;33A;;0;Unknown;-;-
Calle Puente Piedra;Puente Piedra;Puente;Piedra;0;Unknown;-;-
Avenida 17;17;17;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Avenida 21A;21A;21A;;0;Unknown;-;-
Calle Tanque 90;Tanque 90;Tanque;90;0;Unknown;-;-
Calle 35;35;35;;0;Unknown;-;-
Calle 33;33;33;;0;Unknown;-;-
Calle Quintanar de la Sierra;Quintanar Sierra;Quintanar;Sierra;2;Female;-;-
Calle 21;21;21;;0;Unknown;-;-
Calle 31;31;31;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Avenida 35;35;35;;0;Unknown;-;-
Avenida 31;31;31;;0;Unknown;-;-
Calle 35;35;35;;0;Unknown;-;-
Calle 47A;47A;47A;;0;Unknown;-;-
Calle Puente Piedra;Puente Piedra;Puente;Piedra;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Calle 45;45;45;;0;Unknown;-;-
Avenida 31;31;31;;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Calle 41;41;41;;0;Unknown;-;-
Avenida Utyum;Utyum;Utyum;;0;Unknown;-;-
Calle 45;45;45;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Avenida 15A;15A;15A;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle Los Manzanos;Los Manzanos;Los;Manzanos;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Real de la Hoja;Real Hoja;Real;Hoja;0;Unknown;-;-
Calle El Tajo;El Tajo;El;Tajo;0;Unknown;-;-
Calle Lobo;Lobo;Lobo;;0;Unknown;-;-
Calle Murillo;Murillo;Murillo;;0;Unknown;-;-
Calle La Hacienda;Calle La;Calle;La;0;Unknown;-;-
Calle 45;45;45;;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Avenida 17A;17A;17A;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Calle Las Palmeras;Las Palmeras;Las;Palmeras;0;Unknown;-;-
Avenida 21A;21A;21A;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Calle 33A;33A;33A;;0;Unknown;-;-
Calle 13;13;13;;0;Unknown;-;-
Calle Paniagua;Paniagua;Paniagua;;0;Unknown;-;-
Calle 25A;25A;25A;;0;Unknown;-;-
Calle La Joya;La Joya;La;Joya;0;Unknown;-;-
Calle 37;37;37;;0;Unknown;-;-
Calle Ebais;Ebais;Ebais;;0;Unknown;-;-
Calle La Escuela;La Escuela;La;Escuela;0;Unknown;-;-
Avenida 23;23;23;;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Calle 5A;5A;5A;;0;Unknown;-;-
Avenida Miravalles;Miravalles;Miravalles;;0;Unknown;-;-
Avenida Barva;Barva;Barva;;0;Unknown;-;-
Vía 113;113;113;;0;Unknown;-;-
Avenida 13;13;13;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 13B;13B;13B;;0;Unknown;-;-
Calle 17;17;17;;0;Unknown;-;-
Calle 21;21;21;;0;Unknown;-;-
Calle 9;9;9;;0;Unknown;-;-
Avenida 17;17;17;;0;Unknown;-;-
Diagonal 15;Diagonal 15;Diagonal;15;0;Unknown;-;-
Avenida Arenal;Arenal;Arenal;;0;Unknown;-;-
Calle 23;23;23;;0;Unknown;-;-
Calle 13A;13A;13A;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Calle 19;19;19;;0;Unknown;-;-
Calle 17B;17B;17B;;0;Unknown;-;-
Calle 17;17;17;;0;Unknown;-;-
Calle 15B;15B;15B;;0;Unknown;-;-
Calle 17A;17A;17A;;0;Unknown;-;-
Calle 17B;17B;17B;;0;Unknown;-;-
Alameda 4;Alameda 4;Alameda;4;0;Unknown;-;-
Calle 39;39;39;;0;Unknown;-;-
Avenida 39A;39A;39A;;0;Unknown;-;-
Calle 43A;43A;43A;;0;Unknown;-;-
Calle 19;19;19;;0;Unknown;-;-
Avenida 37B;37B;37B;;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Alameda 3;Alameda 3;Alameda;3;0;Unknown;-;-
Avenida 27;27;27;;0;Unknown;-;-
Alameda 1;Alameda 1;Alameda;1;0;Unknown;-;-
Avenida 39;39;39;;0;Unknown;-;-
Calle Añoranzas;Añoranzas;Añoranzas;;0;Unknown;-;-
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;-;-
Calle 0;0;0;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 27;27;27;;0;Unknown;-;-
Diagonal 35;Diagonal 35;Diagonal;35;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Alameda El Clavel;Alameda El Clavel;Alameda;El;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle 11;11;11;;0;Unknown;-;-
Calle 5B;5B;5B;;0;Unknown;-;-
Avenida 21A;21A;21A;;0;Unknown;-;-
Avenida 43;43;43;;0;Unknown;-;-
Calle Hernández;Hernández;Hernández;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Avenida 29;29;29;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 19A;19A;19A;;0;Unknown;-;-
Avenida 25;25;25;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle de las Hoyas;Hoyas;Hoyas;;0;Unknown;-;-
Calle 29;29;29;;0;Unknown;-;-
Avenida 19B;19B;19B;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Avenida 15A;15A;15A;;0;Unknown;-;-
Calle 29A;29A;29A;;0;Unknown;-;-
Calle 15A;15A;15A;;0;Unknown;-;-
Avenida 13A;13A;13A;;0;Unknown;-;-
Avenida 11A;11A;11A;;0;Unknown;-;-
Calle 15;15;15;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Avenida 9;9;9;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Avenida 15A;15A;15A;;0;Unknown;-;-
Calle 19;19;19;;0;Unknown;-;-
Transversal 25;Transversal 25;Transversal;25;0;Unknown;-;-
Calle 35;35;35;;0;Unknown;-;-
Calle 47;47;47;;0;Unknown;-;-
Avenida 37A;37A;37A;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Avenida 27A;27A;27A;;0;Unknown;-;-
Avenida 33;33;33;;0;Unknown;-;-
Avenida Poás;Poás;Poás;;0;Unknown;-;-
Calle La Condesa;La Condesa;La;Condesa;0;Unknown;-;-
Calle Murillo;Murillo;Murillo;;0;Unknown;-;-
Vía 116;116;116;;0;Unknown;-;-
Avenida 41;41;41;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
