calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Monte de la Cruz;Monte Cruz;Monte;Cruz;2;Female;-;-;https://es.wikipedia.org/wiki/Montse_Cruz
Camino Los Lirios;Los Lirios;Los;Lirios;2;Female;-;-;https://es.wikipedia.org/wiki/Edda_de_los_R%C3%ADos
Camino de El Río;Camino El;Camino;El;2;Female;-;-;https://es.wikipedia.org/wiki/Camino_Garrig%C3%B3
Camino de La Roca;La Roca;La;Roca;2;Female;-;-;https://es.wikipedia.org/wiki/Julia_Roca
Camino de El Sol;El Sol;El;Sol;2;Female;-;-;https://es.wikipedia.org/wiki/Isabel_Soler
Camino de El Valle;El Valle;El;Valle;2;Female;-;-;https://es.wikipedia.org/wiki/Fe_del_Valle
Avenida Magnolia;Magnolia;Magnolia;;2;Female;-;-;https://es.wikipedia.org/wiki/Diana_Romagnoli
Calle Quintanar de la Sierra;Quintanar Sierra;Quintanar;Sierra;2;Female;-;-;https://es.wikipedia.org/wiki/Bianca_Sierra
Calle Cruces;Cruces;Cruces;;2;Female;-;-;https://es.wikipedia.org/wiki/L%C3%ADa_Crucet
Calle Valerio;Valerio;Valerio;;-2;Male;-;-
Calle La Joaquina;La Joaquina;La;Joaquina;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Joaquina_de_Viera_y_Clavijo
CalleLa Paz;La Paz;La;Paz;2;Female;-;-;https://es.wikipedia.org/wiki/Marcela_Paz
Calle La Rosa;La Rosa;La;Rosa;2;Female;-;-;https://es.wikipedia.org/wiki/%C3%81ngela_Vallina
Calle Dulce Nombre;Dulce Nombre;Dulce;Nombre;2;Female;-;-;https://es.wikipedia.org/wiki/Dulce_Pontes
Calle de La Rosa;La Rosa;La;Rosa;2;Female;-;-;https://es.wikipedia.org/wiki/%C3%81ngela_Vallina
Calle Santa Paula;Santa Paula;Santa;Paula;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Paula_Ar%C3%B3sio
Calle Tierra Blanca;Tierra Blanca;Tierra;Blanca;2;Female;-;-;https://es.wikipedia.org/wiki/Javiera_Blanco
Calle Jerusalén;Jerusalén;Jerusalén;;2;Female;-;-;https://es.wikipedia.org/wiki/Sibila_de_Jerusal%C3%A9n
Calle Breña Mora;Breña Mora;Breña;Mora;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Teresa_Morales
Calle Mora;Mora;Mora;;2;Female;-;-;https://es.wikipedia.org/wiki/Moran_Atias
Calle Linda Vista;Linda Vista;Linda;Vista;2;Female;-;-;https://es.wikipedia.org/wiki/Linda_Stahl
Calle Víctor Carballo;Víctor Carballo;Víctor;Carballo;-2;Male;-;-
