Calle Amapola;Amapola;Amapola;;2;Female;-;-
Calle Arena;Arena;Arena;;2;Female;-;-
Calle Los Ahogados;Los Ahogados;Los;Ahogados;0;Unknown;-;-
Calle Palos Verdes;Palos Verdes;Palos;Verdes;0;Unknown;-;-
Calle Las Moras;Las Moras;Las;Moras;0;Unknown;-;-
Calle Rodríguez;Rodríguez;Rodríguez;;0;Unknown;-;-
Vía 126;126;126;;0;Unknown;-;-
Calle Derrumbe;Derrumbe;Derrumbe;;0;Unknown;-;-
Calle Montaña Tranquila;Montaña Tranquila;Montaña;Tranquila;0;Unknown;-;-
Calle Chagüite;Chagüite;Chagüite;;0;Unknown;-;-
Ruta 126;Ruta 126;Ruta;126;2;Female;-;-
Vía 126;126;126;;0;Unknown;-;-
Calle Amapola;Amapola;Amapola;;2;Female;-;-
Calle Los Ahogados;Los Ahogados;Los;Ahogados;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Ruíz;Ruíz;Ruíz;;0;Unknown;-;-
Calle Derrumbe;Derrumbe;Derrumbe;;0;Unknown;-;-
Calle Montaña Tranquila;Montaña Tranquila;Montaña;Tranquila;0;Unknown;-;-
Calle Tranqueras;Tranqueras;Tranqueras;;0;Unknown;-;-
Calle Trapiche;Trapiche;Trapiche;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Avenida 6;6;6;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 8;8;8;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Avenida 10;10;10;;0;Unknown;-;-
Calle Claudia;Claudia;Claudia;;2;Female;-;-
Calle Vieja;Vieja;Vieja;;0;Unknown;-;-
Ruta Nacional 119;Ruta Nacional 119;Ruta;Nacional;2;Female;-;-
Calle 2;2;2;;0;Unknown;-;-
Vía 123;123;123;;0;Unknown;-;-
Vía 119;119;119;;0;Unknown;-;-
Vía 123;123;123;;0;Unknown;-;-
Calle Amapola;Amapola;Amapola;;2;Female;-;-
Calle Sánchez;Sánchez;Sánchez;;0;Unknown;-;-
Calle Arias;Arias;Arias;;0;Unknown;-;-
Calle Potrerillos;Potrerillos;Potrerillos;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Calle Betania;Betania;Betania;;2;Female;-;-
Avenida Uno;Uno;Uno;;0;Unknown;-;-
Calle Cuatro;Cuatro;Cuatro;;0;Unknown;-;-
Calle Rosa Blanca;Rosa Blanca;Rosa;Blanca;2;Female;-;-
Calle Los Mora;Los Mora;Los;Mora;2;Female;-;-
Vía 127;127;127;;0;Unknown;-;-
Calle Los Bueyes;Los Bueyes;Los;Bueyes;0;Unknown;-;-
Calle Ojo de Agua;Ojo Agua;Ojo;Agua;0;Unknown;-;-
Avenida Tercera;Tercera;Tercera;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle Segunda;Segunda;Segunda;;2;Female;-;-
Calle 5;5;5;;0;Unknown;-;-
Calle La Cruz;La Cruz;La;Cruz;2;Female;-;-
Calle El Saleciano;El Saleciano;El;Saleciano;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Calle El Saleciano Norte;El Saleciano Norte;El;Saleciano;0;Unknown;-;-
Calle Sexta;Sexta;Sexta;;0;Unknown;-;-
Calle Salas;Salas;Salas;;2;Female;-;-
Calle 2;2;2;;0;Unknown;-;-
Calle Cuarta;Cuarta;Cuarta;;0;Unknown;-;-
Calle Montero;Montero;Montero;;0;Unknown;-;-
Calle Tres;Tres;Tres;;0;Unknown;-;-
Calle Dos;Dos;Dos;;0;Unknown;-;-
Vía 127;127;127;;0;Unknown;-;-
Calle Guachipelines;Guachipelines;Guachipelines;;0;Unknown;-;-
Avenida Dos;Dos;Dos;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Calle Las Papas;Las Papas;Las;Papas;0;Unknown;-;-
Calle La Paulina;La Paulina;La;Paulina;2;Female;-;-
Calle Uno;Uno;Uno;;0;Unknown;-;-
Calle 1A;1A;1A;;0;Unknown;-;-
Calle El Taconazo;El Taconazo;El;Taconazo;0;Unknown;-;-
Calle San Juan;San Juan;San;Juan;-2;Male;-;-
Calle Jocote;Jocote;Jocote;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Las Palmas;Las Palmas;Las;Palmas;0;Unknown;-;-
Calle Chagüite;Chagüite;Chagüite;;0;Unknown;-;-
Calle Bajo Los Cachos;Bajo Los Cachos;Bajo;Los;0;Unknown;-;-
Calle Campos;Campos;Campos;;0;Unknown;-;-
Calle Sánchez;Sánchez;Sánchez;;0;Unknown;-;-
Calle Nazareth;Nazareth;Nazareth;;2;Female;-;-
Calle Antigua;Antigua;Antigua;;2;Female;-;-
Calle Derrumbe;Derrumbe;Derrumbe;;0;Unknown;-;-
Calle Potrerillos;Potrerillos;Potrerillos;;0;Unknown;-;-
Calle Miramar;Miramar;Miramar;;0;Unknown;-;-
Calle Carreta;Carreta;Carreta;;0;Unknown;-;-
Avenida Cinco;Cinco;Cinco;;0;Unknown;-;-
Calle El Paraíso;El Paraíso;El;Paraíso;0;Unknown;-;-
Calle Guachipelines;Guachipelines;Guachipelines;;0;Unknown;-;-
Calle Betania;Betania;Betania;;2;Female;-;-
Calle La Tafitt;La Tafitt;La;Tafitt;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Calle Jiménez;Jiménez;Jiménez;;0;Unknown;-;-
Calle Moreira;Moreira;Moreira;;0;Unknown;-;-
Calle Salazar;Salazar;Salazar;;0;Unknown;-;-
Calle 4;4;4;;0;Unknown;-;-
Calle El Higuerón;El Higuerón;El;Higuerón;0;Unknown;-;-
Calle Los Patos;Los Patos;Los;Patos;0;Unknown;-;-
Calle Las Rosas;Las Rosas;Las;Rosas;0;Unknown;-;-
Calle 6;6;6;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Avenida 1;1;1;;0;Unknown;-;-
Calle Momo;Momo;Momo;;0;Unknown;-;-
Calle Lajas;Lajas;Lajas;;0;Unknown;-;-
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;-;-
Avenida Dos;Dos;Dos;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Calle Vieja;Vieja;Vieja;;0;Unknown;-;-
Ruta Nacional 126;Ruta Nacional 126;Ruta;Nacional;2;Female;-;-
