calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Amapola;Amapola;Amapola;;2;Female;-;-;https://es.wikipedia.org/wiki/Amapola_Cabase
Calle Arena;Arena;Arena;;2;Female;-;-;https://es.wikipedia.org/wiki/Arenales_Serrano
Ruta 126;Ruta 126;Ruta;126;2;Female;-;-;https://es.wikipedia.org/wiki/Ruta_Lee
Calle Claudia;Claudia;Claudia;;2;Female;-;-;https://es.wikipedia.org/wiki/Claudia_Kohde-Kilsch
Ruta Nacional 119;Ruta Nacional 119;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Betania;Betania;Betania;;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Betania
Calle Rosa Blanca;Rosa Blanca;Rosa;Blanca;2;Female;-;-;https://es.wikipedia.org/wiki/Teresa_Blanco_Pi%C3%B1al
Calle Los Mora;Los Mora;Los;Mora;2;Female;-;-;https://es.wikipedia.org/wiki/%C3%81ngeles_Mora
Calle Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle La Cruz;La Cruz;La;Cruz;2;Female;-;-;https://es.wikipedia.org/wiki/Ada_de_la_Cruz
Calle Salas;Salas;Salas;;2;Female;-;-;https://es.wikipedia.org/wiki/Ada_Salas
Calle La Paulina;La Paulina;La;Paulina;2;Female;-;-;https://es.wikipedia.org/wiki/Lolia_Paulina
Calle San Juan;San Juan;San;Juan;-2;Male;-;-
Calle Nazareth;Nazareth;Nazareth;;2;Female;-;-;https://es.wikipedia.org/wiki/Nazareth_Cascante
Calle Antigua;Antigua;Antigua;;2;Female;-;-;https://es.wikisource.org/wiki/Autor:Sor_Mar%C3%ADa_de_la_Antigua
Calle María Auxiliadora;María Auxiliadora;María;Auxiliadora;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora_Delgado
Ruta Nacional 126;Ruta Nacional 126;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Quebrada La Cruz;Quebrada La Cruz;Quebrada;La;2;Female;-;-;https://es.wikipedia.org/wiki/Raquel_de_la_Cruz
Calle Araya;Araya;Araya;;2;Female;-;-;https://es.wikipedia.org/wiki/Ray%C3%A9n_Araya
Calle Asdrúbal Víquez;Asdrúbal Víquez;Asdrúbal;Víquez;-2;Male;-;-
Calle La Trinidad;La Trinidad;La;Trinidad;2;Female;-;-;https://es.wikipedia.org/wiki/Zelina_Vega
Calle Fernando Herrera;Fernando Herrera;Fernando;Herrera;-2;Male;-;-
Calle Alfaro;Alfaro;Alfaro;;-2;Male;-;-
Calle Joaquín Gutiérrez;Joaquín Gutiérrez;Joaquín;Gutiérrez;-2;Male;-;-
Avenida Segunda;Segunda;Segunda;;2;Female;-;-;https://es.wikipedia.org/wiki/Aldegunda_de_Baviera
Calle Loma Azul;Loma Azul;Loma;Azul;2;Female;-;-;https://es.wikipedia.org/wiki/Paloma_Aguilar_Fern%C3%A1ndez
Calle Monte Campana;Monte Campana;Monte;Campana;2;Female;-;-;https://es.wikipedia.org/wiki/Montse_Manzanares
Calle María Ramos;María Ramos;María;Ramos;2;Female;-;-;https://es.wikipedia.org/wiki/Olga_Mar%C3%ADa_Ramos
Calle Miranda;Miranda;Miranda;;2;Female;-;-;https://es.wikipedia.org/wiki/Miranda_(cantante_francesa)
Calle La Catalina;La Catalina;La;Catalina;2;Female;-;-;https://es.wikipedia.org/wiki/Ana_Catalina_de_Brandeburgo
