calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Sara Soto;Sara Soto;Sara;Soto;2;Female;-;-;https://es.wikipedia.org/wiki/Sara_Sotillo
Calle Alfonso;Alfonso;Alfonso;;-2;Male;-;-
Calle Don Pedro;Don Pedro;Don;Pedro;-2;Male;-;-
Ruta Nacional 504;Ruta Nacional 504;Ruta;Nacional;2;Female;-;-;https://es.wikipedia.org/wiki/Shauna_MacDonald
Calle Nazareth;Nazareth;Nazareth;;2;Female;-;-;https://es.wikipedia.org/wiki/Nazareth_Cascante
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Ramón Rodríguez;Ramón Rodríguez;Ramón;Rodríguez;-2;Male;-;-
Calle Félix A. Montero;Félix A. Montero;Félix;A.;-2;Male;-;-
Avenida Gaspar Chacón;Gaspar Chacón;Gaspar;Chacón;-2;Male;-;-
Avenida Cristóbal Colón;Cristóbal Colón;Cristóbal;Colón;-2;Male;-;-
Avenida Jesús Jiménez;Jesús Jiménez;Jesús;Jiménez;-2;Male;-;-
Calle Pedro León;Pedro León;Pedro;León;-2;Male;-;-
Calle El Socorro;El Socorro;El;Socorro;2;Female;-;-;https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Socorro_Blanc_Ruiz
Calle San Martín;San Martín;San;Martín;-2;Male;-;-
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Higinia;Higinia;Higinia;;2;Female;-;-;https://es.wikipedia.org/wiki/Higinia_Bartolom%C3%A9_del_%C3%81lamo
Calle Angélica;Angélica;Angélica;;2;Female;-;-;https://es.wikipedia.org/wiki/Ang%C3%A9lica_(presentadora)
Calle Angélica Norte;Angélica Norte;Angélica;Norte;2;Female;-;-;https://es.wikipedia.org/wiki/Angelica_Costello
Calle Ignacio Bolaños;Ignacio Bolaños;Ignacio;Bolaños;-2;Male;-;-
Calle Rómulo;Rómulo;Rómulo;;-2;Male;-;-
Calle Ronda;Ronda;Ronda;;2;Female;-;-;https://es.wikipedia.org/wiki/Ronda_Rousey
Calle Rincón de Ricardo;Rincón Ricardo;Rincón;Ricardo;-2;Male;-;-
Calle Vinicio Zamora;Vinicio Zamora;Vinicio;Zamora;-2;Male;-;-
Calle Fátima;Fátima;Fátima;;2;Female;-;-;https://es.wikipedia.org/wiki/F%C3%A1tima_Bernardes
Calle Monte Carmelo;Monte Carmelo;Monte;Carmelo;2;Female;-;-;https://es.wikipedia.org/wiki/Montse_Castell%C3%A0
Calle Fernando Ramírez;Fernando Ramírez;Fernando;Ramírez;-2;Male;-;-
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Autopista Braulio Carrillo;pista Braulio Carrillo;pista;Braulio;-2;Male;-;-
Calle Lincoln;Lincoln;Lincoln;;-2;Male;-;-
Calle Gonzalo Delgado;Gonzalo Delgado;Gonzalo;Delgado;-2;Male;-;-
