Calle 18;18;18;;0;Unknown;-;-
Calle 18;18;18;;0;Unknown;-;-
Avenida 67;67;67;;0;Unknown;-;-
Calle 16;16;16;;0;Unknown;-;-
Avenida 69;69;69;;0;Unknown;-;-
Avenida 69;69;69;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Avenida 69;69;69;;0;Unknown;-;-
Calle 6A;6A;6A;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Calle 42;42;42;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Avenida 55;55;55;;0;Unknown;-;-
Avenida 53;53;53;;0;Unknown;-;-
Avenida 55;55;55;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Calle 18A;18A;18A;;0;Unknown;-;-
Calle 22;22;22;;0;Unknown;-;-
Calle 20;20;20;;0;Unknown;-;-
Calle 24;24;24;;0;Unknown;-;-
Calle 28;28;28;;0;Unknown;-;-
Avenida 61;61;61;;0;Unknown;-;-
Calle 34;34;34;;0;Unknown;-;-
Calle 24A;24A;24A;;0;Unknown;-;-
Calle 26;26;26;;0;Unknown;-;-
Calle 28A;28A;28A;;0;Unknown;-;-
Avenida 55A;55A;55A;;0;Unknown;-;-
Calle 34A;34A;34A;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Calle 28B;28B;28B;;0;Unknown;-;-
Calle 28A;28A;28A;;0;Unknown;-;-
Calle 28C;28C;28C;;0;Unknown;-;-
Avenida 59;59;59;;0;Unknown;-;-
Avenida 57A;57A;57A;;0;Unknown;-;-
Avenida 57;57;57;;0;Unknown;-;-
Avenida 55B;55B;55B;;0;Unknown;-;-
Calle 32;32;32;;0;Unknown;-;-
Avenida 53;53;53;;0;Unknown;-;-
Calle 38;38;38;;0;Unknown;-;-
Vía 5;5;5;;0;Unknown;-;-
Calle 22;22;22;;0;Unknown;-;-
Avenida 63;63;63;;0;Unknown;-;-
Calle 38;38;38;;0;Unknown;-;-
Calle 38;38;38;;0;Unknown;-;-
Calle 38A;38A;38A;;0;Unknown;-;-
Avenida 63A;63A;63A;;0;Unknown;-;-
Avenida 63A;63A;63A;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Calle 44B;44B;44B;;0;Unknown;-;-
Calle 46;46;46;;0;Unknown;-;-
Calle 46A;46A;46A;;0;Unknown;-;-
Calle 46B;46B;46B;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 42A;42A;42A;;0;Unknown;-;-
Calle 44;44;44;;0;Unknown;-;-
Calle 44A;44A;44A;;0;Unknown;-;-
Avenida 49D;49D;49D;;0;Unknown;-;-
Avenida 49;49;49;;0;Unknown;-;-
Calle 18;18;18;;0;Unknown;-;-
Avenida 71;71;71;;0;Unknown;-;-
Avenida 51A;51A;51A;;0;Unknown;-;-
Avenida 51C;51C;51C;;0;Unknown;-;-
Calle 26;26;26;;0;Unknown;-;-
Calle 36;36;36;;0;Unknown;-;-
Avenida 49B;49B;49B;;0;Unknown;-;-
Calle 24;24;24;;0;Unknown;-;-
Calle 22A;22A;22A;;0;Unknown;-;-
Transversal 18B;Transversal 18B;Transversal;18B;0;Unknown;-;-
Avenida 53B;53B;53B;;0;Unknown;-;-
Calle 32B;32B;32B;;0;Unknown;-;-
Calle 28C;28C;28C;;0;Unknown;-;-
Calle 28B;28B;28B;;0;Unknown;-;-
Avenida 71;71;71;;0;Unknown;-;-
Calle 14;14;14;;0;Unknown;-;-
Avenida 71A;71A;71A;;0;Unknown;-;-
Calle 6A;6A;6A;;0;Unknown;-;-
Avenida 49C;49C;49C;;0;Unknown;-;-
Avenida 49B;49B;49B;;0;Unknown;-;-
Avenida 49A;49A;49A;;0;Unknown;-;-
Avenida 49A;49A;49A;;0;Unknown;-;-
Calle 48A;48A;48A;;0;Unknown;-;-
Calle 48B;48B;48B;;0;Unknown;-;-
Calle 50;50;50;;0;Unknown;-;-
Calle 50A;50A;50A;;0;Unknown;-;-
Calle 52;52;52;;0;Unknown;-;-
Calle 46A;46A;46A;;0;Unknown;-;-
Calle 46B;46B;46B;;0;Unknown;-;-
Calle 48;48;48;;0;Unknown;-;-
Avenida 49;49;49;;0;Unknown;-;-
Calle 40B;40B;40B;;0;Unknown;-;-
Calle 40A;40A;40A;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Avenida 53;53;53;;0;Unknown;-;-
