calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle Jesús;Jesús;Jesús;;-2;Male;-;-
Calle El Carmen;El Carmen;El;Carmen;2;Female;-;-;https://es.wikipedia.org/wiki/Jewel_Carmen
Calle Mora;Mora;Mora;;2;Female;-;-;https://es.wikipedia.org/wiki/Moran_Atias
Calle Sotero;Sotero;Sotero;;-2;Male;-;-
Calle Coca Cola;Coca Cola;Coca;Cola;2;Female;-;-;https://es.wikipedia.org/wiki/Rebecca_Clarke
Calle Don Carmen;Don Carmen;Don;Carmen;2;Female;-;-;https://es.wikipedia.org/wiki/Manon_Carpenter
Calle San Francisco;San Francisco;San;Francisco;-2;Male;-;-
Calle Holanda;Holanda;Holanda;;2;Female;-;-;https://es.wikipedia.org/wiki/Berta_de_Holanda
Calle La Julieta;La Julieta;La;Julieta;2;Female;-;-;https://es.wikipedia.org/wiki/Rosa_Julieta_Monta%C3%B1o_Salvatierra
Calle Progreso;Progreso;Progreso;;-2;Male;-;-
Calle La Palma;La Palma;La;Palma;2;Female;-;-;https://es.wikipedia.org/wiki/Lola_Palat%C3%ADn
Calle Casilda;Casilda;Casilda;;2;Female;-;-;https://es.wikipedia.org/wiki/Casilda_de_Toledo
Calle La Florida;La Florida;La;Florida;2;Female;-;-;https://es.wikipedia.org/wiki/Paula_Florido_y_Toledo
Calle Amelia Granados;Amelia Granados;Amelia;Granados;2;Female;-;-;https://es.wikipedia.org/wiki/Carolina_Granados_Mendoza
Calle Montserrat;Montserrat;Montserrat;;2;Female;-;-;https://es.wikipedia.org/wiki/Montserrat_Caball%C3%A9
Calle Dulce Nombre;Dulce Nombre;Dulce;Nombre;2;Female;-;-;https://es.wikipedia.org/wiki/Dulce_Pontes
Calle Sinaí;Sinaí;Sinaí;;2;Female;-;-;https://es.wikipedia.org/wiki/Sinaida_Hippius
Calle Chon Mora;Chon Mora;Chon;Mora;2;Female;-;-;https://es.wikipedia.org/wiki/Cuckoo_Moray
Calle Rocío;Rocío;Rocío;;2;Female;-;-;https://es.wikipedia.org/wiki/Roc%C3%ADo_D%C3%BArcal
